SIDO_NM,CCG_NM,STRD_YYMM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,amt,cnt,supply_count,external_source,source_scope,amt_per_supply_proxy,cnt_per_supply_proxy
강원특별자치도,양구군,202603,4010,편의점,143910000,13586,23.0,국세청,가동사업자,6256956.521739131,590.695652173913
강원특별자치도,양구군,202603,4020,슈퍼마켓,184560000,6188,14.0,국세청,가동사업자,13182857.142857144,442.0
강원특별자치도,양구군,202603,8005,중국음식,33180000,1076,24.0,LOCALDATA,식품인허가 영업점,1382500.0,44.833333333333336
강원특별자치도,양구군,202603,8301,제과점,15830000,997,6.0,LOCALDATA,식품인허가 영업점,2638333.3333333335,166.16666666666666
강원특별자치도,양구군,202604,4010,편의점,155130000,14940,22.0,국세청,가동사업자,7051363.636363637,679.0909090909091
강원특별자치도,양구군,202604,4020,슈퍼마켓,184390000,6254,14.0,국세청,가동사업자,13170714.285714285,446.7142857142857
강원특별자치도,양구군,202604,8005,중국음식,29170000,1033,26.0,LOCALDATA,식품인허가 영업점,1121923.076923077,39.73076923076923
강원특별자치도,양구군,202604,8301,제과점,16290000,1089,6.0,LOCALDATA,식품인허가 영업점,2715000.0,181.5
강원특별자치도,양구군,202605,4010,편의점,173330000,16342,22.0,국세청,가동사업자,7878636.363636363,742.8181818181819
강원특별자치도,양구군,202605,4020,슈퍼마켓,203480000,6715,14.0,국세청,가동사업자,14534285.714285715,479.64285714285717
강원특별자치도,양구군,202605,8005,중국음식,42900000,1205,25.0,LOCALDATA,식품인허가 영업점,1716000.0,48.2
강원특별자치도,양구군,202605,8301,제과점,22020000,1276,6.0,LOCALDATA,식품인허가 영업점,3670000.0,212.66666666666666
강원특별자치도,양구군,202606,4010,편의점,166600000,15966,22.0,국세청,가동사업자,7572727.2727272725,725.7272727272727
강원특별자치도,양구군,202606,4020,슈퍼마켓,192300000,6593,14.0,국세청,가동사업자,13735714.285714285,470.92857142857144
강원특별자치도,양구군,202606,8005,중국음식,35300000,1115,25.0,LOCALDATA,식품인허가 영업점,1412000.0,44.6
강원특별자치도,양구군,202606,8301,제과점,15360000,1042,6.0,LOCALDATA,식품인허가 영업점,2560000.0,173.66666666666666
강원특별자치도,양양군,202601,4010,편의점,328660000,31717,81.0,국세청,가동사업자,4057530.864197531,391.5679012345679
강원특별자치도,양양군,202601,4020,슈퍼마켓,279760000,8320,24.0,국세청,가동사업자,11656666.666666666,346.6666666666667
강원특별자치도,양양군,202601,8005,중국음식,43970000,1354,21.0,LOCALDATA,식품인허가 영업점,2093809.5238095238,64.47619047619048
강원특별자치도,양양군,202601,8301,제과점,59490000,3053,13.0,LOCALDATA,식품인허가 영업점,4576153.846153846,234.84615384615384
강원특별자치도,양양군,202602,4010,편의점,312240000,30007,79.0,국세청,가동사업자,3952405.0632911394,379.8354430379747
강원특별자치도,양양군,202602,4020,슈퍼마켓,284920000,8073,25.0,국세청,가동사업자,11396800.0,322.92
강원특별자치도,양양군,202602,8005,중국음식,37170000,1187,21.0,LOCALDATA,식품인허가 영업점,1770000.0,56.523809523809526
강원특별자치도,양양군,202602,8301,제과점,59820000,2989,13.0,LOCALDATA,식품인허가 영업점,4601538.461538462,229.92307692307693
강원특별자치도,양양군,202603,4010,편의점,293440000,29107,79.0,국세청,가동사업자,3714430.379746835,368.44303797468353
강원특별자치도,양양군,202603,4020,슈퍼마켓,262450000,8338,25.0,국세청,가동사업자,10498000.0,333.52
강원특별자치도,양양군,202603,8005,중국음식,44970000,1502,21.0,LOCALDATA,식품인허가 영업점,2141428.5714285714,71.52380952380952
강원특별자치도,양양군,202603,8301,제과점,51520000,2883,13.0,LOCALDATA,식품인허가 영업점,3963076.923076923,221.76923076923077
강원특별자치도,양양군,202604,4010,편의점,329810000,33103,80.0,국세청,가동사업자,4122625.0,413.7875
강원특별자치도,양양군,202604,4020,슈퍼마켓,283780000,8826,23.0,국세청,가동사업자,12338260.869565217,383.7391304347826
강원특별자치도,양양군,202604,8005,중국음식,39900000,1407,21.0,LOCALDATA,식품인허가 영업점,1900000.0,67.0
강원특별자치도,양양군,202604,8301,제과점,51300000,3000,13.0,LOCALDATA,식품인허가 영업점,3946153.846153846,230.76923076923077
강원특별자치도,양양군,202605,4010,편의점,449580000,44863,82.0,국세청,가동사업자,5482682.926829268,547.109756097561
강원특별자치도,양양군,202605,4020,슈퍼마켓,333710000,10187,24.0,국세청,가동사업자,13904583.333333334,424.4583333333333
강원특별자치도,양양군,202605,8005,중국음식,49290000,1574,21.0,LOCALDATA,식품인허가 영업점,2347142.8571428573,74.95238095238095
강원특별자치도,양양군,202605,8301,제과점,71040000,3964,13.0,LOCALDATA,식품인허가 영업점,5464615.384615385,304.9230769230769
강원특별자치도,양양군,202606,4010,편의점,444470000,44574,84.0,국세청,가동사업자,5291309.523809524,530.6428571428571
강원특별자치도,양양군,202606,4020,슈퍼마켓,341980000,10433,24.0,국세청,가동사업자,14249166.666666666,434.7083333333333
강원특별자치도,양양군,202606,8005,중국음식,46770000,1563,21.0,LOCALDATA,식품인허가 영업점,2227142.8571428573,74.42857142857143
강원특별자치도,양양군,202606,8301,제과점,59230000,3393,13.0,LOCALDATA,식품인허가 영업점,4556153.846153846,261.0
