SIDO_NM,CCG_NM,STRD_YYMM,amt,cnt,population_total,amt_per_registered_resident,cnt_per_registered_resident
강원특별자치도,화천군,202604,994000000,53347,22335.0,44504.14148197896,2.388493396015223
강원특별자치도,화천군,202605,1164860000,59446,22328.0,52170.36904335364,2.662396990326048
강원특별자치도,화천군,202606,1057680000,55456,22579.0,46843.527171265334,2.4560875149475176
강원특별자치도,횡성군,202601,1924360000,86196,45591.0,42209.207957710954,1.8906363097979864
강원특별자치도,횡성군,202602,1881650000,83019,45583.0,41279.643726827984,1.821271087905579
강원특별자치도,횡성군,202603,1751540000,78186,45573.0,38433.72172119457,1.7156210914357186
강원특별자치도,횡성군,202604,1917830000,85555,45625.0,42034.6301369863,1.8751780821917807
강원특별자치도,횡성군,202605,2399730000,104131,45596.0,52630.274585489955,2.2837748925344328
강원특별자치도,횡성군,202606,2124990000,93363,45575.0,46626.22051563357,2.0485573230938012
경기도,가평군,202601,3318610000,138243,62026.0,53503.53077741592,2.2287911520975077
경기도,가평군,202602,3456810000,140541,62030.0,55728.03482186039,2.2656940190230532
경기도,가평군,202603,3589720000,154016,61963.0,57933.28276552136,2.4856123815825573
경기도,가평군,202604,4291780000,181391,62010.0,69211.09498467989,2.925189485566844
경기도,가평군,202605,5293120000,211111,62044.0,85312.3589710528,3.4026013796660433
경기도,가평군,202606,4575450000,184873,62041.0,73748.81126996664,2.9798520333327962
경기도,고양시 덕양구,202601,22552070000,1084395,485174.0,46482.43722870558,2.235064121325545
경기도,고양시 덕양구,202602,21149950000,1002645,484682.0,43636.75564596993,2.068665640564329
경기도,고양시 덕양구,202603,22403840000,1141674,484128.0,46276.68715711548,2.358206920483839
경기도,고양시 덕양구,202604,21403630000,1135406,483700.0,44249.803597271035,2.347335125077527
경기도,고양시 덕양구,202605,24253590000,1198860,483267.0,50186.729075231706,2.4807404602424747
경기도,고양시 덕양구,202606,21298090000,1140709,483048.0,44091.042712111426,2.361481674698995
경기도,고양시 일산동구,202601,15650450000,760079,297178.0,52663.55517568595,2.557655681106946
경기도,고양시 일산동구,202602,14411570000,692914,297383.0,48461.31083484933,2.330039040563852
경기도,고양시 일산동구,202603,15508140000,801244,297093.0,52199.614262200725,2.696946747314814
경기도,고양시 일산동구,202604,15212020000,806514,297542.0,51125.62260117899,2.7105887572174683
경기도,고양시 일산동구,202605,16782690000,843460,297895.0,56337.6021752631,2.831400325618087
경기도,고양시 일산동구,202606,14973520000,809208,298269.0,50201.39538470307,2.7130140913068406
경기도,고양시 일산서구,202601,9974950000,538351,277646.0,35926.863704141244,1.938983453750459
경기도,고양시 일산서구,202602,9411040000,502677,277365.0,33930.16422403692,1.8123303228597696
경기도,고양시 일산서구,202603,9911900000,575846,276829.0,35805.13602259879,2.080150562260457
경기도,고양시 일산서구,202604,9652140000,576874,276520.0,34905.75726891364,2.08619268045711
경기도,고양시 일산서구,202605,10474710000,604616,276309.0,37909.405773970444,2.1881878621398507
경기도,고양시 일산서구,202606,9290760000,560797,276121.0,33647.42268787959,2.030982793775193
경기도,과천시,202601,3166930000,203913,79951.0,39610.886668084204,2.5504746657327613
경기도,과천시,202602,3042570000,199251,80098.0,37985.59264900497,2.487590202002547
경기도,과천시,202603,3550540000,249293,80197.0,44272.72840629949,3.1085077995436237
경기도,과천시,202604,4121590000,301179,80250.0,51359.376947040495,3.7530093457943927
경기도,과천시,202605,4482220000,317544,80384.0,55760.10151273885,3.9503383757961785
경기도,과천시,202606,3531170000,252512,80832.0,43685.29790182106,3.1239113222486146
경기도,광명시,202601,11665090000,681297,297468.0,39214.60459612463,2.2903203033603616
경기도,광명시,202602,10728900000,628788,300826.0,35664.802909323,2.0902049689853937
경기도,광명시,202603,11683970000,712621,302390.0,38638.74466748239,2.356628856774364
경기도,광명시,202604,11514990000,722445,303091.0,37991.85723099663,2.383591066709338
경기도,광명시,202605,12458920000,734226,303479.0,41053.647863608356,2.4193634485417443
경기도,광명시,202606,11179800000,710231,303666.0,36816.10717037798,2.3388558482016424
경기도,광주시,202601,18787900000,924233,397364.0,47281.3339910007,2.3259102485378644
경기도,광주시,202602,17716590000,858085,397174.0,44606.620775780895,2.160476264810889
경기도,광주시,202603,18721480000,968960,397166.0,47137.67039474678,2.439685169425379
경기도,광주시,202604,19014810000,1000137,397402.0,47847.79643786392,2.5166883911001956
경기도,광주시,202605,21092740000,1057341,398250.0,52963.5655994978,2.654967984934087
경기도,광주시,202606,19030240000,1002497,399111.0,47681.57229442436,2.51182503113169
경기도,구리시,202601,8480080000,437339,186118.0,45562.92244704972,2.349794216572282
경기도,구리시,202602,7916650000,400691,185946.0,42574.99489098986,2.1548782980004946
경기도,구리시,202603,8538420000,458492,185982.0,45909.926767106495,2.4652493252035144
경기도,구리시,202604,8397520000,465915,186855.0,44941.37165181558,2.4934574937785983
경기도,구리시,202605,9430030000,491506,187463.0,50303.4198748553,2.6218827181897226
경기도,구리시,202606,8414380000,467989,187782.0,44809.300145913876,2.4921930749486108
경기도,군포시,202601,10916310000,617180,251038.0,43484.691560640225,2.4585122571084854
경기도,군포시,202602,10349450000,576994,250701.0,41282.04514541227,2.3015225308235707
경기도,군포시,202603,11014740000,662851,250300.0,44006.15261685977,2.6482261286456255
경기도,군포시,202604,11092200000,678701,250007.0,44367.55770838416,2.714727987616347
경기도,군포시,202605,11749660000,687548,249770.0,47041.918565079875,2.752724506546022
경기도,군포시,202606,10672010000,662758,249462.0,42780.10278118511,2.656749324546424
경기도,김포시,202601,23309610000,1163612,484694.0,48091.393745332105,2.400714677714187
경기도,김포시,202602,22187770000,1077421,484614.0,45784.418114210486,2.223256034699782
경기도,김포시,202603,23346290000,1231303,484334.0,48202.8723979733,2.542260093241441
경기도,김포시,202604,22859420000,1245099,484222.0,47208.5531016765,2.5713391791368423
경기도,김포시,202605,25319130000,1317690,484047.0,52307.17265058972,2.722235650670286
경기도,김포시,202606,22875410000,1263606,484042.0,47259.142801657705,2.6105296647811556
경기도,남양주시,202601,25549810000,1252639,729552.0,35021.23220825932,1.716997554663684
경기도,남양주시,202602,24001270000,1160808,729142.0,32917.140968425905,1.5920191128751326
경기도,남양주시,202603,25847290000,1336615,728597.0,35475.42743107644,1.8345052203069736
경기도,남양주시,202604,25604550000,1360158,728126.0,35164.99891502295,1.868025588977732
경기도,남양주시,202605,28936060000,1431724,727717.0,39762.79240419009,1.967418653130269
