dimension,segment_code,segment,TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,amt_share_jan,amt_share_jun,amt_share_change_pp,cnt_share_jan,cnt_share_jun,cnt_share_change_pp
GENDER_CD,x,법인,8021,스넥,전북특별자치도,김제시,0.8556278621354543,1.2161541991739329,0.3605263370384786,1.0422535211267605,1.5,0.4577464788732395
GENDER_CD,1,남성,8021,스넥,전북특별자치도,남원시,57.00798414826039,57.056451612903224,0.048467464642833136,57.66663345621201,56.738197424892704,-0.9284360313193076
GENDER_CD,2,여성,8021,스넥,전북특별자치도,남원시,33.107989976105834,33.50806451612903,0.40007454002319776,32.30048819368337,34.06771578445398,1.7672275907706094
GENDER_CD,3,외국인,8021,스넥,전북특별자치도,남원시,8.700973250189405,8.237327188940093,-0.46364606124931207,8.51848161801335,7.70624701955174,-0.8122345984616102
GENDER_CD,x,법인,8021,스넥,전북특별자치도,남원시,1.1830526254443732,1.19815668202765,0.015104056583276737,1.5143967320912624,1.4878397711015738,-0.026556960989688516
GENDER_CD,1,남성,8021,스넥,전북특별자치도,무주군,60.70673306501126,59.898882384246946,-0.8078506807643109,57.61769430371927,56.612377850162865,-1.0053164535564036
GENDER_CD,2,여성,8021,스넥,전북특별자치도,무주군,31.250426359233234,32.75678552421501,1.5063591649817774,33.48572840726553,36.09120521172638,2.6054768044608494
GENDER_CD,3,외국인,8021,스넥,전북특별자치도,무주군,5.341428473975032,5.002660989888239,-0.3387674840867936,5.881626096626714,4.951140065146579,-0.9304860314801351
GENDER_CD,x,법인,8021,스넥,전북특별자치도,무주군,2.7014121017804764,2.3416711016498137,-0.3597410001306627,3.0149511923884837,2.3452768729641695,-0.6696743194243142
GENDER_CD,1,남성,8021,스넥,전북특별자치도,부안군,58.696883852691215,58.08823529411765,-0.608648558573563,57.38287560581583,57.49850029994001,0.11562469412417897
GENDER_CD,2,여성,8021,스넥,전북특별자치도,부안군,34.844192634560905,33.787367405978785,-1.0568252285821202,35.864297253634895,35.30293941211758,-0.5613578415173137
GENDER_CD,3,외국인,8021,스넥,전북특별자치도,부안군,4.8441926345609065,5.098842815814851,0.2546501812539441,5.234248788368336,5.518896220755849,0.284647432387513
