SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,AGE_CD,cnt_growth_pct_m,population_growth_pct_m,cnt_per_resident_growth_pct_m,gap_beta,national_gap_beta,benchmark_adjusted_gap_pct_m,AGE_GROUP
경상남도,창원시 마산회원구,8005,중국음식,6,1.2793020909566633,0.2174945514372501,1.059503177835317,0.010539297752715449,0.013862895797868039,-0.3318081007001274,60대 이상
경상남도,창원시 마산회원구,8006,서양음식,2,3.6302057078942793,-0.724698601827898,4.386694624331165,0.042932035211403125,0.034425361082742106,0.854295869504383,20대
경상남도,창원시 마산회원구,8006,서양음식,3,3.8709978811166583,-0.21536716941864428,4.095184733979338,0.04013553240524347,0.0310821698844304,0.9094468161725177,30대
경상남도,창원시 마산회원구,8006,서양음식,4,4.884445479387805,-0.3826957360522799,5.287375777088063,0.05152333780787042,0.03659626817713938,1.5039034744612538,40대
경상남도,창원시 마산회원구,8006,서양음식,5,5.044552502535677,-0.33240696758066335,5.394892468575369,0.05254399039260115,0.04275833888330978,0.9833687557172361,50대
경상남도,창원시 마산회원구,8006,서양음식,6,5.4434504727457655,0.2174945514372501,5.214614419068581,0.05083202500033371,0.04954779226480192,0.12850577155089304,60대 이상
경상남도,창원시 마산회원구,8021,스넥,2,18.241077801186993,-0.724698601827898,19.10422445049771,0.17482875952160407,0.03032973415546734,15.546056881220593,20대
경상남도,창원시 마산회원구,8021,스넥,3,11.188754821254527,-0.21536716941864428,11.428735735326683,0.10821505918694917,0.02001327019127806,9.220849544834408,30대
경상남도,창원시 마산회원구,8021,스넥,4,9.227967351152703,-0.3826957360522799,9.647583979727463,0.09210125470444115,0.017584404975941836,7.736349665173053,40대
경상남도,창원시 마산회원구,8021,스넥,5,5.187929438971775,-0.33240696758066335,5.538747589456498,0.05390797522825415,0.024988750980419992,2.9341445287478374,50대
경상남도,창원시 마산회원구,8021,스넥,6,4.407180142216887,0.2174945514372501,4.180593028724395,0.04095567865988653,0.044013715389069265,-0.305336569747286,60대 이상
경상남도,창원시 마산회원구,8301,제과점,2,-1.5446222191157357,-0.724698601827898,-0.8259089680315335,-0.008293384923689855,-0.0034536036789113212,-0.48280883747797215,20대
경상남도,창원시 마산회원구,8301,제과점,3,1.5038442596682835,-0.21536716941864428,1.7229220375104037,0.017082480436271575,-0.0017248833080512633,1.898533618981605,30대
경상남도,창원시 마산회원구,8301,제과점,4,0.09494398627221572,-0.3826957360522799,0.47947465137074297,0.004783288328108627,0.00023657260190021717,0.4557067721402675,40대
경상남도,창원시 마산회원구,8301,제과점,5,0.026941653625092567,-0.33240696758066335,0.3605471049038667,0.0035989869191837952,0.0034384319726825144,0.016056783613652616,50대
경상남도,창원시 마산회원구,8301,제과점,6,1.5588854123286038,0.2174945514372501,1.338479740383927,0.013296012372092594,0.017449393929811714,-0.41447681975204825,60대 이상
경상남도,창원시 성산구,4004,대형할인점,2,-0.40433754285170326,-0.6056342200900717,0.20252322720595844,0.002023184253857226,-0.02890151499465711,3.1407835177226278,20대
경상남도,창원시 성산구,4004,대형할인점,3,0.31535524623461353,0.004335121212138029,0.311006642507545,0.0031052401725460755,-0.025824719329818023,2.935249558920555,30대
경상남도,창원시 성산구,4004,대형할인점,4,-0.4525896173329952,-0.23534705210206214,-0.2177550453108757,-0.002179924763509991,-0.024531775223838082,2.2603524700243134,40대
경상남도,창원시 성산구,4004,대형할인점,5,-0.19788374369352923,-0.44717729873880746,0.25041334668466414,0.0025010033490362707,-0.019940065607136653,2.2694763918614904,50대
경상남도,창원시 성산구,4004,대형할인점,6,1.300728161817866,0.38598129280261384,0.9112296928663255,0.009071030449834946,-0.005566307444719953,1.4744988322136645,60대 이상
경상남도,창원시 성산구,4010,편의점,2,1.4618204863863937,-0.6056342200900717,2.080052214483117,0.020587145113773988,0.037689412023441095,-1.6956853290537617,20대
경상남도,창원시 성산구,4010,편의점,3,2.554019766433024,0.004335121212138029,2.5495741180924734,0.02517614560205002,0.025947096536290716,-0.07706538279255601,30대
경상남도,창원시 성산구,4010,편의점,4,2.7730156590696082,-0.23534705210206214,3.0154595062269065,0.029708883272288187,0.03476626596572525,-0.5044615665233219,40대
경상남도,창원시 성산구,4010,편의점,5,3.0228765595149114,-0.44717729873880746,3.4856408528632894,0.0342626813715144,0.042046751158504446,-0.7753852371422177,50대
경상남도,창원시 성산구,4010,편의점,6,3.62491491144226,0.38598129280261384,3.2264800093873944,0.031755223384232374,0.051056750551709176,-1.9116445391817467,60대 이상
경상남도,창원시 성산구,4020,슈퍼마켓,2,-0.5544619320790342,-0.6056342200900717,0.05148409329795312,0.0005147084478569547,0.006729608126393874,-0.6195627135838835,20대
경상남도,창원시 성산구,4020,슈퍼마켓,3,-0.029558555413988226,0.004335121212138029,-0.03389220735785582,-0.0003389795206449569,0.002332960526697597,-0.26683735926924074,30대
경상남도,창원시 성산구,4020,슈퍼마켓,4,-1.1400912991480154,-0.23534705210206214,-0.906878559000707,-0.009110157343704219,0.0019698678399135716,-1.1018867788147986,40대
경상남도,창원시 성산구,4020,슈퍼마켓,5,-0.7095185677029289,-0.44717729873880746,-0.26351966910205754,-0.0026386749337336517,0.007359826010089572,-0.9948682109400944,50대
경상남도,창원시 성산구,4020,슈퍼마켓,6,0.5531743265417073,0.38598129280261384,0.16655018119654585,0.001664116401877993,0.01882841124984108,-1.7017827539110983,60대 이상
경상남도,창원시 성산구,8001,일반한식,2,-1.2064965754858843,-0.6056342200900717,-0.6045235569250563,-0.006063581982088147,0.014901896024596998,-2.074723025648413,20대
경상남도,창원시 성산구,8001,일반한식,3,-0.7219887270008681,0.004335121212138029,-0.7262923625587349,-0.007289427061642988,0.013303390078761572,-2.0382233065143205,30대
경상남도,창원시 성산구,8001,일반한식,4,-1.253694505693071,-0.23534705210206214,-1.0207497580559326,-0.010259951337008438,0.012093348211004136,-2.2105315736618363,40대
경상남도,창원시 성산구,8001,일반한식,5,-0.6421038122750294,-0.44717729873880746,-0.19580209606025822,-0.0019599403895743505,0.017840014928554585,-1.9605223547430866,50대
경상남도,창원시 성산구,8001,일반한식,6,1.154004772109774,0.38598129280261384,0.7650704504915022,0.007621586287485523,0.03549259681047882,-2.748619724208671,60대 이상
경상남도,창원시 성산구,8002,갈비전문점,3,-3.093729555560569,0.004335121212138029,-3.0979303777357647,-0.03146930898855646,-0.008579977066480917,-2.262935848132155,30대
경상남도,창원시 성산구,8002,갈비전문점,4,2.3387885305312004,-0.23534705210206214,2.580208026160933,0.025474823911713036,0.009422091256670762,1.6182269982356972,40대
경상남도,창원시 성산구,8002,갈비전문점,5,-1.5773283042551132,-0.44717729873880746,-1.1352274851188002,-0.011417203785111013,0.017070689184325617,-2.8085938931852508,50대
경상남도,창원시 성산구,8002,갈비전문점,6,2.1410024255444124,0.38598129280261384,1.7482731255301567,0.017331666451330045,0.026479688471356767,-0.9106306169341792,60대 이상
경상남도,창원시 성산구,8004,일식회집,2,2.3844420527900962,-0.6056342200900717,3.008295540112533,0.029639338222828722,0.012195698299530277,1.7596668708255163,20대
경상남도,창원시 성산구,8004,일식회집,3,1.957448672308398,0.004335121212138029,1.9530288849267903,0.019342020104803733,0.01433216132013325,0.5022429110276931,30대
경상남도,창원시 성산구,8004,일식회집,4,0.2821102380118378,-0.23534705210206214,0.5186779834578705,0.005173374824629562,0.019281450646744247,-1.4009023281128383,40대
경상남도,창원시 성산구,8004,일식회집,5,-0.9641501498505317,-0.44717729873880746,-0.5192950205571369,-0.005206480433015061,0.027485000145439743,-3.216288992229699,50대
경상남도,창원시 성산구,8004,일식회집,6,1.0480423860870052,0.38598129280261384,0.6595154868818911,0.0065735019855529125,0.047279563597656345,-3.9888697956514245,60대 이상
경상남도,창원시 성산구,8005,중국음식,2,-1.3272248885075788,-0.6056342200900717,-0.7259874971337246,-0.0072863561079720505,0.0030590258027918893,-1.0292052510100413,20대
경상남도,창원시 성산구,8005,중국음식,3,-1.4372481472503118,0.004335121212138029,-1.4415207767894778,-0.014520116281233593,-0.005172516071470769,-0.9304047205922017,30대
경상남도,창원시 성산구,8005,중국음식,4,-1.458086394056769,-0.23534705210206214,-1.2256238114648503,-0.012331965189849216,-0.0030761441212146475,-0.9213117809608217,40대
경상남도,창원시 성산구,8005,중국음식,5,-1.5291430938607529,-0.44717729873880746,-1.086825833526304,-0.010927749289592776,0.001868523362947272,-1.2714748461393137,50대
경상남도,창원시 성산구,8005,중국음식,6,-1.152668441177746,0.38598129280261384,-1.5327336687504958,-0.01544601455123519,0.013862895797868039,-2.888356978832905,60대 이상
경상남도,창원시 성산구,8006,서양음식,2,2.4694337932553765,-0.6056342200900717,3.0938051560735405,0.030469117449518024,0.034425361082742106,-0.3948428011612915,20대
경상남도,창원시 성산구,8006,서양음식,3,3.0795050603275453,0.004335121212138029,3.075036632550068,0.03028704800185084,0.0310821698844304,-0.07948058569406656,30대
경상남도,창원시 성산구,8006,서양음식,4,3.1593489265895904,-0.23534705210206214,3.402704142582977,0.033460927993625086,0.03659626817713938,-0.31304301373765847,40대
경상남도,창원시 성산구,8006,서양음식,5,3.554816198582669,-0.44717729873880746,4.019969890086077,0.03941271289405596,0.04275833888330978,-0.33400356187911917,50대
경상남도,창원시 성산구,8006,서양음식,6,4.770630517093091,0.38598129280261384,4.367790370551315,0.04275092050307013,0.04954779226480192,-0.6773825273096304,60대 이상
경상남도,창원시 성산구,8021,스넥,2,-0.8946032811976765,-0.6056342200900717,-0.29072982038788014,-0.0029115326044034315,0.03032973415546734,-3.2694847146514445,20대
경상남도,창원시 성산구,8021,스넥,3,0.6251584929376203,0.004335121212138029,0.6207964594464846,0.0061887745620052515,0.02001327019127806,-1.3729376120486272,30대
경상남도,창원시 성산구,8021,스넥,4,-0.30472807700438714,-0.23534705210206214,-0.0695446962949485,-0.0006956888983639586,0.017584404975941836,-1.8114026407508754,40대
경상남도,창원시 성산구,8021,스넥,5,0.456649618866189,-0.44717729873880746,0.9078867811887228,0.00903790264969082,0.024988750980419992,-1.5824307255369663,50대
경상남도,창원시 성산구,8021,스넥,6,2.829977376555619,0.38598129280261384,2.4345989871080067,0.024054350281952255,0.044013715389069265,-1.976149561589053,60대 이상
경상남도,창원시 성산구,8301,제과점,2,-5.948489136661022,-0.6056342200900717,-5.375410240457387,-0.055252809674036514,-0.0034536036789113212,-5.048049447308187,20대
경상남도,창원시 성산구,8301,제과점,3,-3.5043259491462244,0.004335121212138029,-3.5085089722416773,-0.035715357409024505,-0.0017248833080512633,-3.341928785608321,30대
경상남도,창원시 성산구,8301,제과점,4,-2.14260196867602,-0.23534705210206214,-1.9117541736651165,-0.019302644879606083,0.00023657260190021717,-1.9349564205799068,40대
경상남도,창원시 성산구,8301,제과점,5,-1.1725658319862924,-0.44717729873880746,-0.7286468766679132,-0.007313144741652421,0.0034384319726825144,-1.0693985098432965,50대
경상남도,창원시 성산구,8301,제과점,6,1.1173049509530635,0.38598129280261384,0.7285117391215692,0.007258709104263872,0.017449393929811714,-1.0138935732354268,60대 이상
경상남도,창원시 의창구,4004,대형할인점,2,-0.6179105208274862,-0.29131817477789096,-0.3275465486767484,-0.003280841566497347,-0.02890151499465711,2.595170390998868,20대
경상남도,창원시 의창구,4004,대형할인점,3,-0.08502158099437018,0.5625232888871485,-0.6439226549848087,-0.006460047799083363,-0.025824719329818023,1.9553382925646001,30대
경상남도,창원시 의창구,4004,대형할인점,4,0.3344754940159049,0.08337340009474897,0.25089291596651775,0.0025057870513551603,-0.024531775223838082,2.740639376039976,40대
경상남도,창원시 의창구,4004,대형할인점,5,1.2690810399735317,-0.013714984423671481,1.282971983804942,0.012748116209122478,-0.019940065607136653,3.3228309630491735,50대
경상남도,창원시 의창구,4004,대형할인점,6,2.707558175081078,0.5284056093054454,2.1676983262270286,0.021445378478808712,-0.005566307444719953,2.737980857521766,60대 이상
경상남도,창원시 의창구,4010,편의점,2,4.528587757350437,-0.29131817477789096,4.833988218375077,0.047207848380919716,0.037689412023441095,0.9563880744885731,20대
경상남도,창원시 의창구,4010,편의점,3,1.615584263165957,0.5625232888871485,1.0471703969217914,0.010417255459794614,0.025947096536290716,-1.5409874915895077,30대
경상남도,창원시 의창구,4010,편의점,4,2.6247674971389756,0.08337340009474897,2.539277015458614,0.025075729586400235,0.03476626596572525,-0.964373443232676,40대
경상남도,창원시 의창구,4010,편의점,5,2.7154201757943066,-0.013714984423671481,2.729509512022395,0.026929226693711478,0.042046751158504446,-1.500382834748389,50대
경상남도,창원시 의창구,4010,편의점,6,4.148465562233827,0.5284056093054454,3.60103189838444,0.03537710419680299,0.051056750551709176,-1.5557360666355347,60대 이상
경상남도,창원시 의창구,4020,슈퍼마켓,2,0.07120815196862508,-0.29131817477789096,0.3635855174396781,0.0036292614307370233,0.006729608126393874,-0.30955455838256013,20대
경상남도,창원시 의창구,4020,슈퍼마켓,3,-0.9246420058433593,0.5625232888871485,-1.4788464391036715,-0.014898903903609297,0.002332960526697597,-1.7084244990030595,30대
경상남도,창원시 의창구,4020,슈퍼마켓,4,-1.7153893031413892,0.08337340009474897,-1.7972642629114612,-0.01813611218589897,0.0019698678399135716,-1.9905202669456623,40대
