TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,total_amt_6m,total_cnt_6m,avg_ticket_6m,amt_growth_pct_m,amt_r2,cnt_growth_pct_m,cnt_r2,ticket_growth_pct_m,ticket_r2,peak_month,amt_growth_without_peak_pct_m,peak_dependency,market_size_quartile
8006,서양음식,전라남도,담양군,2810340000,180935,15532.318235830548,0.9198086956310376,0.022203593156798325,3.6249847042808607,0.27850704117395886,-2.610544181376419,0.731966064748236,202605,-2.009236308775059,True,Q2
8006,서양음식,전라남도,목포시,7428340000,686324,10823.372051684044,2.5635719878465895,0.2344489357185062,5.116863987138565,0.630759170361631,-2.429003208851858,0.7591831046147813,202605,0.51313550692843,False,Q3
8006,서양음식,전라남도,무안군,2844280000,240324,11835.189161298913,1.754157482241181,0.41535323974924454,4.704479598866382,0.7960978813971388,-2.817761119608444,0.722489610303347,202605,1.0779987625080276,False,Q2
8006,서양음식,전라남도,보성군,762940000,55367,13779.688261961095,3.692388124513829,0.26027223537781186,4.0260689020938205,0.38259929671064385,-0.3207664973805693,0.04843382743685575,202605,1.166018863604825,False,Q1_small
8006,서양음식,전라남도,순천시,8323890000,721408,11538.394362136267,1.8188318950303053,0.3746501108928571,4.30834437091911,0.7297236240975533,-2.3866858312275516,0.7726084373299511,202605,1.1073881033287059,False,Q3
8006,서양음식,전라남도,신안군,330920000,22191,14912.35185435537,5.212913876781993,0.4163224859959292,4.1146896925659275,0.42125247721391096,1.054821550598636,0.16952564490143054,202605,4.108677660304007,False,Q1_small
8006,서양음식,전라남도,여수시,10057350000,755218,13317.148161193192,-0.14655691657958,0.0009260621892991633,2.709883548312883,0.3787835553515454,-2.7810765295521485,0.745900845783173,202605,-2.719047515462248,False,Q3
8006,서양음식,전라남도,영광군,964710000,83135,11604.137848078426,6.379578943994953,0.8213584445817868,6.217743047875008,0.8049623679049093,0.15236239396175663,0.00949127665882933,202605,7.172933206228392,False,Q1_small
8006,서양음식,전라남도,영암군,1283540000,112638,11395.266251176336,6.291965221317827,0.8366906457985632,6.662989473814592,0.8101286789462904,-0.3478472282907825,0.033599142789239235,202605,6.205225044535592,False,Q2
8006,서양음식,전라남도,완도군,800170000,68263,11721.86982699266,1.6387193137698122,0.1408614676122746,2.713388196448386,0.34363812130406163,-1.0462792646107741,0.8433164719010626,202605,0.023955964854117773,True,Q1_small
8006,서양음식,전라남도,장성군,1393020000,108107,12885.56707706254,5.969655433370568,0.6730169820312597,6.603286086296476,0.741997420709849,-0.594381914656005,0.1026073814869842,202605,5.3430624723419005,False,Q2
8006,서양음식,전라남도,장흥군,576330000,50519,11408.183059838873,0.902460549497798,0.09588113886900501,2.7345478347570547,0.5567950772528458,-1.7833215056400256,0.5915524366008152,202605,-0.21893383494600172,True,Q1_small
8006,서양음식,전라남도,진도군,627980000,47496,13221.74498905171,0.23225343337943913,0.0033365499204329103,2.857646078330794,0.43048468535891066,-2.552452583789453,0.7603603909964531,202605,-1.0445757813374674,False,Q1_small
8006,서양음식,전라남도,함평군,665330000,46853,14200.371374298338,-2.1260744595531187,0.10452765638244671,1.8776052543907196,0.15517304270220975,-3.929891857927572,0.6928174413851966,202605,-5.600736990223845,False,Q1_small
8006,서양음식,전라남도,해남군,1145350000,88190,12987.300147409003,2.5399352344659163,0.5497671818845832,3.515896225249246,0.7119651891146569,-0.9428126755137239,0.4992022416158824,202605,1.7653272431950595,False,Q1_small
8006,서양음식,전라남도,화순군,2245880000,187934,11950.365553864654,5.0590846714480096,0.6966693943490266,5.254817974741925,0.7193113607560991,-0.18596137170730917,0.08802667456040615,202605,5.696326527131917,False,Q2
8006,서양음식,전북특별자치도,고창군,1101290000,75048,14674.475002664962,9.170810007932701,0.5293820701439712,10.395029533920185,0.530538360993135,-1.1089444254474643,0.23351320958570274,202605,8.999040065025746,False,Q1_small
8006,서양음식,전북특별자치도,군산시,6929600000,589137,11762.289586293171,1.0002471613679165,0.1232225761238392,3.5842822217341572,0.7562052197679754,-2.4946208101677088,0.761496364618253,202605,-0.25811926104175864,True,Q3
8006,서양음식,전북특별자치도,김제시,1491970000,107423,13888.73891066159,2.4056512376009396,0.2229709931319209,4.4798375670424635,0.7373036094409728,-1.9852503389570668,0.4473877841525441,202605,0.9594803623631758,False,Q1_small
8006,서양음식,전북특별자치도,남원시,1621990000,128748,12598.176282350018,2.9046012908940755,0.27625354065718605,5.101206092067356,0.4886959339529804,-2.089990098923396,0.6914726030540729,202605,1.2239599261881209,False,Q2
8006,서양음식,전북특별자치도,무주군,447010000,31407,14232.814340752062,-10.95230740585969,0.29970817359744595,-8.632778856667237,0.24986717283718826,-2.5386878578189958,0.5033753880044805,202601,-5.074707706814639,False,Q1_small
