SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,mapping_confidence,nominal_amt_growth_pct_m,real_amt_growth_pct_m,nominal_real_type
강원특별자치도,춘천시,8021,스넥,MEDIUM,4.462338024999308,4.188126221224601,명목+/실질+
강원특별자치도,춘천시,8301,제과점,HIGH,1.4842700499134212,1.5821549510319624,명목+/실질+
강원특별자치도,태백시,4004,대형할인점,MEDIUM,-2.0419843102608755,-1.703195109885914,명목-/실질-
강원특별자치도,태백시,4010,편의점,MEDIUM,2.407431992494487,2.7616095628844586,명목+/실질+
강원특별자치도,태백시,4020,슈퍼마켓,MEDIUM,-0.8000809258906163,-0.4569965848720853,명목-/실질-
강원특별자치도,태백시,8001,일반한식,MEDIUM,-0.7918927844094661,-1.0523123245325898,명목-/실질-
강원특별자치도,태백시,8002,갈비전문점,MEDIUM,-5.081077452031831,-5.33023795768682,명목-/실질-
강원특별자치도,태백시,8004,일식회집,MEDIUM,0.6027883527731817,0.33870779914492555,명목+/실질+
강원특별자치도,태백시,8005,중국음식,MEDIUM,2.3347353166847116,2.066108432675478,명목+/실질+
강원특별자치도,태백시,8006,서양음식,MEDIUM,-2.6076437517163717,-2.863296977420596,명목-/실질-
강원특별자치도,태백시,8021,스넥,MEDIUM,2.1918894014500445,1.9236374854612406,명목+/실질+
강원특별자치도,태백시,8301,제과점,HIGH,-0.700106188905056,-0.6043281901868717,명목-/실질-
강원특별자치도,평창군,4004,대형할인점,MEDIUM,1.0339236401564085,1.3833509122362724,명목+/실질+
강원특별자치도,평창군,4010,편의점,MEDIUM,-5.089613244996646,-4.761364312945504,명목-/실질-
강원특별자치도,평창군,4020,슈퍼마켓,MEDIUM,-0.6680948678786851,-0.3245540511878599,명목-/실질-
강원특별자치도,평창군,8001,일반한식,MEDIUM,-1.5892558945111792,-1.8475823704655996,명목-/실질-
강원특별자치도,평창군,8004,일식회집,MEDIUM,-12.542433289436092,-12.772007866981033,명목-/실질-
강원특별자치도,평창군,8005,중국음식,MEDIUM,-2.0144960101473948,-2.271706238262346,명목-/실질-
강원특별자치도,평창군,8006,서양음식,MEDIUM,-9.787798402714497,-10.024603848487214,명목-/실질-
강원특별자치도,평창군,8021,스넥,MEDIUM,-4.115281452758094,-4.3669771559594475,명목-/실질-
강원특별자치도,평창군,8301,제과점,HIGH,-2.6719706514646373,-2.5780945805805096,명목-/실질-
강원특별자치도,홍천군,4004,대형할인점,MEDIUM,4.038820636905783,4.398640388289922,명목+/실질+
강원특별자치도,홍천군,4010,편의점,MEDIUM,3.6368602557345975,3.9952898213826846,명목+/실질+
강원특별자치도,홍천군,4020,슈퍼마켓,MEDIUM,-3.148734637425131,-2.8137731489093687,명목-/실질-
강원특별자치도,홍천군,8001,일반한식,MEDIUM,3.0512411946651308,2.7807334953023846,명목+/실질+
강원특별자치도,홍천군,8004,일식회집,MEDIUM,-5.72689585868324,-5.97436110235606,명목-/실질-
강원특별자치도,홍천군,8005,중국음식,MEDIUM,-1.421135652466764,-1.6799034411056755,명목-/실질-
강원특별자치도,홍천군,8006,서양음식,MEDIUM,-6.478756430974871,-6.724248053842302,명목-/실질-
강원특별자치도,홍천군,8021,스넥,MEDIUM,-1.85289134518595,-2.1105257827096775,명목-/실질-
강원특별자치도,홍천군,8301,제과점,HIGH,-5.186044276540578,-5.0945931119799175,명목-/실질-
강원특별자치도,화천군,4010,편의점,MEDIUM,4.832112020161367,5.194675381157142,명목+/실질+
강원특별자치도,화천군,4020,슈퍼마켓,MEDIUM,-0.05098184941508499,0.2946932614891901,명목-/실질+
강원특별자치도,화천군,8001,일반한식,MEDIUM,-1.131975933620831,-1.391502761446473,명목-/실질-
강원특별자치도,화천군,8004,일식회집,MEDIUM,-2.310774514720802,-2.5672070169612993,명목-/실질-
강원특별자치도,화천군,8005,중국음식,MEDIUM,1.5151138024366257,1.248638410516202,명목+/실질+
강원특별자치도,화천군,8006,서양음식,MEDIUM,-0.4957653032433098,-0.756962172806624,명목-/실질-
강원특별자치도,화천군,8021,스넥,MEDIUM,-2.003791875043496,-2.2610302013250267,명목-/실질-
강원특별자치도,화천군,8301,제과점,HIGH,-0.9904271924218777,-0.8949292178167246,명목-/실질-
강원특별자치도,횡성군,4010,편의점,MEDIUM,3.374260592625569,3.7317819535774697,명목+/실질+
강원특별자치도,횡성군,4020,슈퍼마켓,MEDIUM,-0.3344753357824621,0.01021930883846625,명목-/실질+
강원특별자치도,횡성군,8001,일반한식,MEDIUM,7.219832495321285,6.938382316962155,명목+/실질+
강원특별자치도,횡성군,8004,일식회집,MEDIUM,15.6536148351338,15.350026126164035,명목+/실질+
강원특별자치도,횡성군,8005,중국음식,MEDIUM,-0.0020029462399595173,-0.2644959333238524,명목-/실질-
강원특별자치도,횡성군,8006,서양음식,MEDIUM,4.601201271007184,4.326624953649309,명목+/실질+
강원특별자치도,횡성군,8021,스넥,MEDIUM,-1.8381809504046036,-2.0958540024565737,명목-/실질-
강원특별자치도,횡성군,8301,제과점,HIGH,3.765575661928797,3.86566095700128,명목+/실질+
경기도,가평군,4010,편의점,MEDIUM,8.526412888730047,8.901753042195587,명목+/실질+
경기도,가평군,4020,슈퍼마켓,MEDIUM,6.162449291982712,6.529613643488311,명목+/실질+
경기도,가평군,8001,일반한식,MEDIUM,11.93783594551096,11.64400109090635,명목+/실질+
