TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,AGE_CD,amt,cnt,bc_age_amt_share_pct,bc_age_cnt_share_pct,population_age_share_pct,store_lq,stores_per_10k_residents,store_observed,age_consumption_index,AGE_GROUP,age_supply_type
8021,스넥,경상남도,의령군,4,17720000,622,17.282746513215645,18.261890780974753,8.758384928536962,0.5533314911854471,5.707064530593943,True,2.0850751514098267,40대,저특화·연령소비과대
8021,스넥,경상남도,의령군,5,38100000,1278,37.15985565200429,37.522019964768056,16.334894215673614,0.5533314911854471,5.707064530593943,True,2.297047012937802,50대,저특화·연령소비과대
8021,스넥,경상남도,의령군,6,33720000,1029,32.887935238466795,30.21139166177334,56.30934014775144,0.5533314911854471,5.707064530593943,True,0.536525407374708,60대 이상,저특화·연령소비과소
8021,스넥,경상남도,진주시,2,301350000,16162,10.888416762416805,10.24337685384713,11.083261373901209,1.0137156473887157,10.757475698563578,True,0.9242204535542369,20대,고특화·연령소비과소
8021,스넥,경상남도,진주시,3,402620000,24061,14.547517361487488,15.249714792749398,11.619325982196509,1.0137156473887157,10.757475698563578,True,1.312444010617783,30대,고특화·연령소비과대
8021,스넥,경상남도,진주시,4,713240000,41119,25.770878950144887,26.06097097223983,13.904303240363076,1.0137156473887157,10.757475698563578,True,1.8743097386273138,40대,고특화·연령소비과대
8021,스넥,경상남도,진주시,5,838680000,46927,30.30329308214278,29.742045886677655,17.01270200040589,1.0137156473887157,10.757475698563578,True,1.7482258776982085,50대,고특화·연령소비과대
8021,스넥,경상남도,진주시,6,511730000,29511,18.489893843808037,18.703891494485994,30.381885721789587,1.0137156473887157,10.757475698563578,True,0.6156264185100185,60대 이상,고특화·연령소비과소
8021,스넥,경상남도,창녕군,2,15960000,763,4.279508768166461,4.086332476435304,4.899275073056425,0.746416984229176,9.550922949765818,True,0.8340687990572522,20대,저특화·연령소비과소
8021,스넥,경상남도,창녕군,3,49580000,2508,13.294363704617366,13.431876606683804,6.4768062991550135,0.746416984229176,9.550922949765818,True,2.0738425678155874,30대,저특화·연령소비과대
8021,스넥,경상남도,창녕군,4,99980000,5356,26.80860191987987,28.684661525278493,10.15598575133086,0.746416984229176,9.550922949765818,True,2.8244093904444085,40대,저특화·연령소비과대
8021,스넥,경상남도,창녕군,5,118980000,5728,31.903255215316133,30.676949443016284,16.534063034210824,0.746416984229176,9.550922949765818,True,1.855378764405473,50대,저특화·연령소비과대
8021,스넥,경상남도,창녕군,6,88440000,4317,23.714270392020165,23.120179948586117,51.8884971554464,0.746416984229176,9.550922949765818,True,0.4455742836282808,60대 이상,저특화·연령소비과소
8021,스넥,경상남도,창원시 마산합포구,2,125760000,7689,7.387912397781747,7.528418826432201,8.407800007235629,1.050948363791808,11.63410454647051,True,0.8954088846016026,20대,고특화·연령소비과소
8021,스넥,경상남도,창원시 마산합포구,3,210220000,12832,12.3496099257449,12.564009673660815,10.47014446503002,1.050948363791808,11.63410454647051,True,1.1999843665600074,30대,고특화·연령소비과대
8021,스넥,경상남도,창원시 마산합포구,4,456730000,26581,26.831116646301346,26.02586823064044,14.59826078346621,1.050948363791808,11.63410454647051,True,1.7828060901691098,40대,고특화·연령소비과대
8021,스넥,경상남도,창원시 마산합포구,5,499600000,29286,29.349562928846694,28.674375569110865,16.11498174907984,1.050948363791808,11.63410454647051,True,1.7793613431022448,50대,고특화·연령소비과대
8021,스넥,경상남도,창원시 마산합포구,6,409930000,25745,24.08179810132531,25.20732770015568,36.41377511286628,1.050948363791808,11.63410454647051,True,0.6922470307465878,60대 이상,고특화·연령소비과소
8021,스넥,경상남도,창원시 마산회원구,2,168570000,10536,8.6240944624074,9.1773805790739,8.865822456844901,1.1007172796139766,9.186163341466916,True,1.0351414799637069,20대,고특화·연령소비과대
8021,스넥,경상남도,창원시 마산회원구,3,253770000,16009,12.982953382720092,13.944636075398071,10.319598254173581,1.1007172796139766,9.186163341466916,True,1.351277029583822,30대,고특화·연령소비과대
8021,스넥,경상남도,창원시 마산회원구,4,529640000,30482,27.096549748291242,26.551339674575797,14.265425054628519,1.1007172796139766,9.186163341466916,True,1.8612371922251993,40대,고특화·연령소비과대
8021,스넥,경상남도,창원시 마산회원구,5,553530000,31688,28.318769696721645,27.601825720358175,18.119902687894474,1.1007172796139766,9.186163341466916,True,1.5232877458441527,50대,고특화·연령소비과대
8021,스넥,경상남도,창원시 마산회원구,6,449130000,26089,22.977632709859616,22.724817950594055,34.52198381052716,1.1007172796139766,9.186163341466916,True,0.6582709173180347,60대 이상,고특화·연령소비과소
8021,스넥,경상남도,창원시 성산구,2,249130000,15246,9.458310237739088,10.190631517031175,11.270347594017117,0.9012858142903316,7.949708918350375,True,0.9041985113609884,20대,저특화·연령소비과소
8021,스넥,경상남도,창원시 성산구,3,428560000,26835,16.27043485523808,17.936875033420673,14.715972759802304,0.9012858142903316,7.949708918350375,True,1.2188711766589082,30대,저특화·연령소비과대
8021,스넥,경상남도,창원시 성산구,4,634020000,36659,24.070797804083554,24.503368803807284,14.939275254835515,0.9012858142903316,7.949708918350375,True,1.6401979604650556,40대,저특화·연령소비과대
8021,스넥,경상남도,창원시 성산구,5,759940000,41042,28.851395986302098,27.433024971926635,18.74698879968819,0.9012858142903316,7.949708918350375,True,1.4633296720368723,50대,저특화·연령소비과대
8021,스넥,경상남도,창원시 성산구,6,562330000,29826,21.34906111663718,19.936099673814233,24.231027408012906,0.9012858142903316,7.949708918350375,True,0.822750902721591,60대 이상,저특화·연령소비과소
8021,스넥,경상남도,창원시 의창구,2,158410000,9553,7.088996191695121,7.240522063393412,10.093852320424897,0.8983979387303849,8.071564689531323,True,0.7173199917678827,20대,저특화·연령소비과소
8021,스넥,경상남도,창원시 의창구,3,288450000,17777,12.908408253863124,13.47375282329579,12.31579318512915,0.8983979387303849,8.071564689531323,True,1.0940223354485061,30대,저특화·연령소비과대
8021,스넥,경상남도,창원시 의창구,4,546390000,32272,24.451465369486126,24.4599736239749,14.662581996573493,0.8983979387303849,8.071564689531323,True,1.66819006568495,40대,저특화·연령소비과대
8021,스넥,경상남도,창원시 의창구,5,710280000,40677,31.785696704988386,30.83039003168155,18.154157564839995,0.8983979387303849,8.071564689531323,True,1.6982550648008148,50대,저특화·연령소비과대
8021,스넥,경상남도,창원시 의창구,6,531060000,31659,23.765433479967243,23.99536145765435,29.894832833567587,0.8983979387303849,8.071564689531323,True,0.8026591615762781,60대 이상,저특화·연령소비과소
