TPBUZ_NO,TPBUZ_NM,source,mapping_confidence,SIDO_NM,CCG_NM,exposure_active_start,mean_active,openings_6m,closures_6m,active_start_jan,active_end_jun,closure_rate_exposure_pct,opening_rate_exposure_pct,churn_rate_exposure_pct,net_change_6m,net_change_pct_initial,TP_BUZ_NO,TP_BUZ_NM,total_amt_6m,total_cnt_6m,avg_ticket_6m,amt_growth_pct_m,amt_r2,cnt_growth_pct_m,cnt_r2,ticket_growth_pct_m,ticket_r2,peak_month,amt_growth_without_peak_pct_m,peak_dependency,churn_q75,high_churn,churn_type
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,수원시 팔달구,6,1.0,0,0,1,1,0.0,0.0,0.0,0,0.0,4004,대형할인점,6750750000.0,208635.0,32356.747429721763,-3.158038123767748,0.23937093566444725,-3.258194130717209,0.3431506824575171,0.10352918890597937,0.004729493802209856,202604.0,-4.553841519273625,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,시흥시,30,5.0,0,0,5,5,0.0,0.0,0.0,0,0.0,4004,대형할인점,23866610000.0,470425.0,50734.1446564277,-1.6705377904938499,0.09130200265704604,0.20892288915332963,0.003215852069962936,-1.8755422426066544,0.4088295388848538,202605.0,-3.572801146746929,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,안산시 단원구,18,3.0,0,0,3,3,0.0,0.0,0.0,0,0.0,4004,대형할인점,22607490000.0,502344.0,45004.00124217667,-1.9483101635867024,0.3168293884051024,-0.5025358262783919,0.033829589784605776,-1.453076567643953,0.24836930607515065,202605.0,-3.5315671412153518,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,안산시 상록구,0,0.0,0,0,0,0,,,,0,,4004,대형할인점,6202340000.0,214861.0,28866.755716486474,-0.9552861853179659,0.11837668437226333,0.035176197204376154,0.0002982275634565944,-0.9901140980346892,0.1523032158062772,202605.0,-2.164111299592118,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,안성시,42,7.0,0,0,7,7,0.0,0.0,0.0,0,0.0,4004,대형할인점,21648060000.0,488511.0,44314.37572541867,-2.6145775590462716,0.33596767779955966,-1.2751803395576622,0.11252466518308234,-1.3566975600414917,0.7171702059405785,202605.0,-5.008603145709483,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,안양시 동안구,24,4.0,0,0,4,4,0.0,0.0,0.0,0,0.0,4004,대형할인점,18572930000.0,557823.0,33295.38222697881,-2.581616334124365,0.4520872529229902,-1.4485029739199415,0.19260710386299884,-1.1497677807010864,0.3542523572317189,202601.0,-2.657622623815677,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,양주시,24,4.0,0,0,4,4,0.0,0.0,0.0,0,0.0,4004,대형할인점,9124280000.0,212958.0,42845.44370251411,-2.868843958576249,0.27831217418736975,0.6927058954195502,0.032283737326428676,-3.5370485104401945,0.888446225816069,202605.0,-5.128672125480229,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,오산시,17,3.0,1,0,2,3,0.0,5.88235294117647,5.88235294117647,1,50.0,4004,대형할인점,7570050000.0,208645.0,36281.96218457188,-2.4042622545885073,0.4572824401833509,-1.3479583572334661,0.3225059417005091,-1.0707369860424345,0.21670100186298444,202601.0,-2.159841460411891,False,0.0,True,고회전·순증
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,용인시 기흥구,60,10.0,0,0,10,10,0.0,0.0,0.0,0,0.0,4004,대형할인점,9377060000.0,328140.0,28576.400316937892,-2.7208466995780127,0.5059287045886698,-0.6325789031038801,0.046774568266328496,-2.1015618332671124,0.32906529274169444,202601.0,-2.1433360817675107,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,용인시 수지구,24,4.0,0,0,4,4,0.0,0.0,0.0,0,0.0,4004,대형할인점,7543020000.0,302979.0,24896.180923430336,-2.5626765427398905,0.558184956707723,-1.6053631375128916,0.33206673478377463,-0.9729325050153821,0.3148984962694928,202601.0,-1.1504801645590044,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,용인시 처인구,12,2.0,0,0,2,2,0.0,0.0,0.0,0,0.0,4004,대형할인점,4124270000.0,165105.0,24979.679597831684,-4.614582165281413,0.8432587215742684,-1.4109182942587668,0.20744903110019697,-3.2495118278762845,0.6574195695458779,202601.0,-3.7231782067699415,False,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,의왕시,36,6.0,0,0,6,6,0.0,0.0,0.0,0,0.0,4004,대형할인점,5330800000.0,205175.0,25981.722919459,0.25081650747071893,0.008833951870452396,2.7767214663885373,0.536225209837303,-2.457662516257531,0.7539086267982519,202605.0,-0.689428472113929,True,0.0,False,저회전·정체
4004,대형할인점,LOCALDATA 대규모·준대규모점포,HIGH,경기도,의정부시,31,5.333333333333333,1,0,5,6,0.0,3.225806451612903,3.225806451612903,1,20.0,4004,대형할인점,7622040000.0,308652.0,24694.60751914778,-5.228824201651093,0.888482398066638,-2.216143384297478,0.511688051538605,-3.0809592928960527,0.8253950761658827,202601.0,-4.858148538023193,False,0.0,True,고회전·순증
