SIDO_NM,CCG_NM,연결업종,confidence,amt_growth_pct_m,amt_robust_signs,real_amt_growth_pct_m,real_amt_robust_signs,cnt_growth_pct_m,cnt_robust_signs,ticket_growth_pct_m,ticket_robust_signs,amt_pc_growth_pct_m,amt_pc_robust_signs,real_amt_pc_growth_pct_m,real_amt_pc_robust_signs,cnt_pc_growth_pct_m,cnt_pc_robust_signs,가동_당월말_growth_pct_m,가동_당월말_robust_signs,amt_per_store_growth_pct_m,amt_per_store_robust_signs,real_amt_per_store_growth_pct_m,real_amt_per_store_robust_signs,cnt_per_store_growth_pct_m,cnt_per_store_robust_signs,initial_stores,openings_6m,closures_6m,total_cnt_6m,total_amt_6m,mean_amt_per_initial_store,mean_cnt_per_initial_store,opening_rate_6m_pct,closure_rate_6m_pct,net_store_change_pct,demand_supply_gap_cnt,demand_supply_type,market_store_type,market_store_type_robust,demand_supply_type_robust,population_growth_pct_m,commercial_aging_gap_pp_m,bc_age_hhi_slope,foreign_share_slope,corp_share_slope,industry_hhi_slope,entropy_slope,portfolio_js,cnt_weakened_fraction,closure_rate_6m_pct_pctile,opening_rate_6m_pct_pctile,amt_growth_pct_m_pctile,cnt_growth_pct_m_pctile,initial_stores_pctile,high_closure,high_entry,weak_amt,weak_cnt,dense_market,closure_mechanism_candidate
경상남도,사천시,중국음식,HIGH,1.009398198678515,0,0.7442503013414993,0,3.33604365991566,1,-2.251533326449231,1,1.0249937758253285,0.0,0.7598049403720488,0.0,3.3519984648118712,1.0,1.0521007394829778,1,-0.0422579446562085,0,-0.3046452630758372,0,2.260163721208331,1,73,5,3,37826,1106850000,2527054.794520548,86.3607305936073,6.8493150684931505,4.10958904109589,2.73972602739726,2.283942920432682,수요+/공급+,B 총시장·점포 증가/점포당 감소,부호 강건성 미충족,수요+/공급+,-0.0154373453181269,0.2456622399095858,-1.749309227781889e-05,-0.1206981906687337,2.493368978606317,-0.0005774501910334,0.0007140843695447,0.0154673764986064,0.1999999999999999,0.6529411764705882,0.8705882352941177,0.6,0.7490196078431373,0.4235294117647059,False,True,False,False,False,일반 관찰지역
경상남도,산청군,제과점,HIGH,4.105534784709121,1,4.205947981486,1,6.868431982657226,1,-2.5853258503844,1,4.148129693696799,1.0,4.248583974658017,1.0,6.912157334468456,1.0,-1.2353260923240683,0,5.407663150921526,1,5.50933229314009,1,8.205118039023333,1,12,0,1,10205,162720000,2260000.0,141.73611111111111,0.0,8.333333333333332,-8.333333333333332,8.103758074981295,수요+/공급-,D 기타·동반감소,부호 강건성 미충족,부호 강건성 미충족,-0.0408983906988635,0.8519879068420994,0.0024529097834345,0.1082892964380909,0.7021670994977663,-0.0029394499829797,0.0024975908828279,0.0160349600180823,0.0999999999999999,0.6791338582677166,0.10236220472440945,0.8543307086614174,0.9015748031496063,0.13188976377952755,False,False,False,False,False,일반 관찰지역
경상남도,산청군,중국음식,HIGH,0.3859816889264199,1,0.1224702489851885,1,1.683679612003827,1,-1.2762106249784566,1,0.4270547381405403,1.0,0.1634354821660356,1.0,1.7252836159365963,1.0,-0.9680748789157112,1,1.367292987777955,1,1.101205622901354,1,2.6776764035206693,1,24,0,1,8225,229800000,1595833.3333333333,57.11805555555555,0.0,4.166666666666666,-4.166666666666666,2.6517544909195383,수요+/공급-,D 기타·동반감소,D 기타·동반감소,수요+/공급-,-0.0408983906988635,0.8519879068420994,0.0024529097834345,0.1082892964380909,0.7021670994977663,-0.0029394499829797,0.0024975908828279,0.0160349600180823,0.0999999999999999,0.6666666666666666,0.11568627450980393,0.4745098039215686,0.5019607843137255,0.10588235294117647,False,False,False,False,False,일반 관찰지역
경상남도,양산시,제과점,HIGH,-3.2623759818980123,1,-3.1690693762852606,1,-1.4777456330562018,1,-1.8113982067391965,1,-3.267209824460176,1.0,-3.173907881246846,1.0,-1.4826686510785276,1.0,0.9426608323277744,1,-4.165767753250169,1,-4.073332498578494,1,-2.3978033127187217,1,142,10,3,200761,2798410000,3284518.779342723,235.63497652582157,7.042253521126761,2.112676056338028,4.929577464788732,-2.420406465383976,수요-/공급+,C 총시장 감소/점포 증가,C 총시장 감소/점포 증가,수요-/공급+,0.0049971085847645,-0.0424459829536165,-0.0005145547923389,0.1004298148377736,0.040741430874584,0.0026002034734505,-0.0038253318278197,0.0253858449199469,0.9,0.27165354330708663,0.5393700787401575,0.05511811023622047,0.06692913385826772,0.8248031496062992,False,False,True,True,True,일반 관찰지역
경상남도,양산시,중국음식,HIGH,-3.735181887605911,1,-3.987875345494086,1,-3.0856605072194507,1,-0.6702015241354924,1,-3.7399921047241462,1.0,-3.9926729358768567,1.0,-3.09050318000449,1.0,0.4731686584568435,1,-4.18853172668261,1,-4.440035149200499,1,-3.5420692043405073,1,175,8,5,83962,2205410000,2100390.476190476,79.96380952380952,4.571428571428571,2.857142857142857,1.7142857142857144,-3.5588291656762943,수요-/공급+,C 총시장 감소/점포 증가,C 총시장 감소/점포 증가,수요-/공급+,0.0049971085847645,-0.0424459829536165,-0.0005145547923389,0.1004298148377736,0.040741430874584,0.0026002034734505,-0.0038253318278197,0.0253858449199469,0.9,0.44313725490196076,0.6941176470588235,0.01568627450980392,0.00784313725490196,0.8509803921568627,False,False,True,True,True,일반 관찰지역
경상남도,의령군,제과점,HIGH,1.060300424666044,1,1.1577763931999003,1,3.2457994296992143,1,-2.1167921766360265,1,1.113374642782176,1.0,1.2109018031370873,1.0,3.3000214145486817,1.0,-2.5709667087205985,0,3.727089360037424,1,3.827137533811711,1,5.970259523185133,1,6,0,1,17307,381120000,10586666.666666666,480.75,0.0,16.666666666666664,-16.666666666666664,5.816766138419813,수요+/공급-,D 기타·동반감소,부호 강건성 미충족,부호 강건성 미충족,-0.0524898098828772,0.4265577353820972,0.0015509641329177,-0.0477975060682853,0.0856799826832404,0.0009656228496136,-0.0028860724131472,0.0187932429032798,0.5,0.9350393700787402,0.10236220472440945,0.5748031496062992,0.610236220472441,0.025590551181102362,True,False,False,False,False,관측변수로 미설명
경상남도,의령군,중국음식,HIGH,0.3457482013696664,0,0.0823423736271167,0,0.0190205448632083,0,0.3266655229441138,1,0.3984471554068927,0.0,0.1349029938349359,0.0,0.071547910108079,0.0,0.0,0,0.3457482013696613,0,0.0823423736271015,0,0.0190205448632134,0,20,0,0,4728,122250000,1018750.0,39.4,0.0,0.0,0.0,0.0190205448632083,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,-0.0524898098828772,0.4265577353820972,0.0015509641329177,-0.0477975060682853,0.0856799826832404,0.0009656228496136,-0.0028860724131472,0.0187932429032798,0.5,0.09411764705882353,0.11568627450980393,0.4627450980392157,0.21568627450980393,0.060784313725490195,False,False,False,True,False,일반 관찰지역
경상남도,진주시,제과점,HIGH,0.5052704604893139,0,0.6022110844507216,0,3.4007398414576304,1,-2.800240487067954,1,0.5406258191434994,0.0,0.6376005445058667,0.0,3.4371137572279338,1.0,0.3548118242906264,1,0.14992667861522,0,0.2465245618648486,0,3.035158914452518,1,186,21,21,184574,2599030000,2328879.9283154123,165.38888888888889,11.29032258064516,11.29032258064516,0.0,3.045928017167004,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,수요+/공급+,-0.0351652462535429,0.0245503532388211,-0.0012084400097178,-0.0085030843511182,1.877963997176786,0.000913067008579,-0.001737873964624,0.007364702746485,0.0999999999999999,0.8346456692913385,0.7519685039370079,0.4881889763779528,0.6220472440944882,0.9488188976377953,True,True,False,False,True,고회전 교체시장 후보
경상남도,진주시,중국음식,HIGH,0.7884802542894382,0,0.5239122626788436,0,2.7601575052910228,1,-1.9187176225377172,1,0.8239352393989265,0.0,0.5592741790747442,0.0,2.7963060794634123,1.0,0.055629063240872,0,0.7324437394575755,0,0.468022842714872,0,2.7030247746888043,1,207,7,8,75220,2079020000,1673929.146537842,60.56360708534621,3.3816425120772946,3.864734299516908,-0.4830917874396135,2.7045284420501505,수요+/공급+,A 총시장·점포·점포당 증가,부호 강건성 미충족,부호 강건성 미충족,-0.0351652462535429,0.0245503532388211,-0.0012084400097178,-0.0085030843511182,1.877963997176786,0.000913067008579,-0.001737873964624,0.007364702746485,0.0999999999999999,0.6078431372549019,0.5215686274509804,0.5372549019607843,0.7019607843137254,0.9019607843137255,False,False,False,False,True,일반 관찰지역
경상남도,창녕군,제과점,HIGH,-1.676336370210121,1,-1.5814999774640168,1,-1.5141505366134065,1,-0.1646793265026562,0,-1.4943871648730944,0.0,-1.3993752761613374,0.0,-1.3319012043033718,1.0,0.0,0,-1.676336370210121,1,-1.5814999774640417,1,-1.5141505366134065,1,17,0,0,11443,190060000,1863333.3333333335,112.18627450980392,0.0,0.0,0.0,-1.5141505366134065,수요-/공급+,C 총시장 감소/점포 증가,부호 강건성 미충족,부호 강건성 미충족,-0.1847094800999289,-0.1068369590046331,-0.0015995767086685,0.701847162836134,-0.0539572216483529,0.0018969838880512,-0.0036758785840677,0.0171003573123034,0.8888888888888888,0.1141732283464567,0.10236220472440945,0.14960629921259844,0.05905511811023622,0.20669291338582677,False,False,True,True,False,일반 관찰지역
