SIDO_NM,CCG_NM,STRD_YYMM,registered_foreigners
경기도,고양시 덕양구,202606,5953
경기도,고양시 일산동구,202606,4864
경기도,고양시 일산서구,202606,3664
경기도,과천시,202606,266
경기도,광명시,202606,2948
경기도,광주시,202606,15359
경기도,구리시,202606,1774
경기도,군포시,202606,5664
경기도,김포시,202606,26209
경기도,남양주시,202606,10147
경기도,동두천시,202606,4433
경기도,부천시 소사구,202606,11987
경기도,부천시 오정구,202606,3429
경기도,부천시 원미구,202606,15982
경기도,성남시 분당구,202606,3045
경기도,성남시 수정구,202606,11859
경기도,성남시 중원구,202606,2715
경기도,수원시 권선구,202606,10050
경기도,수원시 영통구,202606,9455
경기도,수원시 장안구,202606,7585
경기도,수원시 팔달구,202606,11723
경기도,시흥시,202606,39230
경기도,안산시 단원구,202606,34135
경기도,안산시 상록구,202606,15375
경기도,안성시,202606,15416
경기도,안양시 동안구,202606,1886
경기도,안양시 만안구,202606,5256
경기도,양주시,202606,10728
경기도,양평군,202606,2083
경기도,여주시,202606,6588
경기도,연천군,202606,1863
경기도,오산시,202606,11232
경기도,용인시 기흥구,202606,5657
경기도,용인시 수지구,202606,3162
경기도,용인시 처인구,202606,12358
경기도,의왕시,202606,1105
경기도,의정부시,202606,8467
경기도,이천시,202606,11824
경기도,파주시,202606,16817
경기도,평택시,202606,36890
경기도,포천시,202606,17069
경기도,하남시,202606,2582
경기도,화성시 동탄구,202606,3399
경기도,화성시 만세구,202606,40479
경기도,화성시 병점구,202606,3452
경기도,화성시 효행구,202606,7782
경상남도,거제시,202606,16569
경상남도,거창군,202606,1223
경상남도,고성군,202606,2112
경상남도,김해시,202606,27967
경상남도,남해군,202606,1149
경상남도,밀양시,202606,5976
경상남도,사천시,202606,4156
경상남도,산청군,202606,1188
경상남도,양산시,202606,9868
경상남도,의령군,202606,978
경상남도,진주시,202606,7099
경상남도,창녕군,202606,3712
경상남도,창원시 마산합포구,202606,2802
경상남도,창원시 마산회원구,202606,3086
경상남도,창원시 성산구,202606,4762
경상남도,창원시 의창구,202606,4046
경상남도,창원시 진해구,202606,5549
경상남도,통영시,202606,5062
경상남도,하동군,202606,1039
경상남도,함안군,202606,5435
경상남도,함양군,202606,787
경상남도,합천군,202606,1246
경상북도,경산시,202606,22971
경상북도,경주시,202606,15564
경상북도,고령군,202606,2894
경상북도,구미시,202606,8136
경상북도,김천시,202606,4890
경상북도,문경시,202606,1621
경상북도,봉화군,202606,1087
경상북도,상주시,202606,3406
경상북도,성주군,202606,4247
경상북도,안동시,202606,2783
경상북도,영덕군,202606,1327
경상북도,영양군,202606,848
경상북도,영주시,202606,2184
경상북도,영천시,202606,4619
경상북도,예천군,202606,842
경상북도,울릉군,202606,152
경상북도,울진군,202606,1792
경상북도,의성군,202606,1486
경상북도,청도군,202606,1291
경상북도,청송군,202606,844
경상북도,칠곡군,202606,6195
경상북도,포항시 남구,202606,4182
경상북도,포항시 북구,202606,3416
광주광역시,광산구,202606,16574
광주광역시,남구,202606,1739
광주광역시,동구,202606,1920
광주광역시,북구,202606,6002
광주광역시,서구,202606,3034
대구광역시,군위군,202606,713
대구광역시,남구,202606,2551
대구광역시,달서구,202606,14067
대구광역시,달성군,202606,8339
대구광역시,동구,202606,2119
대구광역시,북구,202606,7562
대구광역시,서구,202606,2947
대구광역시,수성구,202606,1764
대구광역시,중구,202606,986
대전광역시,대덕구,202606,3774
대전광역시,동구,202606,7797
대전광역시,서구,202606,6434
대전광역시,유성구,202606,9393
대전광역시,중구,202606,1693
부산광역시,강서구,202606,7357
부산광역시,금정구,202606,5372
부산광역시,기장군,202606,3317
부산광역시,남구,202606,8494
부산광역시,동구,202606,2012
부산광역시,동래구,202606,1119
부산광역시,부산진구,202606,4025
부산광역시,북구,202606,2500
부산광역시,사상구,202606,8075
부산광역시,사하구,202606,5564
부산광역시,서구,202606,3333
부산광역시,수영구,202606,2060
부산광역시,연제구,202606,1074
부산광역시,영도구,202606,2450
부산광역시,중구,202606,2564
부산광역시,해운대구,202606,4841
서울특별시,강남구,202606,6163
서울특별시,강동구,202606,4810
서울특별시,강북구,202606,7394
서울특별시,강서구,202606,6637
서울특별시,관악구,202606,19792
서울특별시,광진구,202606,17722
서울특별시,구로구,202606,22026
서울특별시,금천구,202606,12848
서울특별시,노원구,202606,5456
서울특별시,도봉구,202606,3232
서울특별시,동대문구,202606,20687
서울특별시,동작구,202606,12205
서울특별시,마포구,202606,11300
서울특별시,서대문구,202606,16062
서울특별시,서초구,202606,4927
서울특별시,성동구,202606,8090
서울특별시,성북구,202606,14709
서울특별시,송파구,202606,6202
서울특별시,양천구,202606,3318
서울특별시,영등포구,202606,21445
서울특별시,용산구,202606,12325
서울특별시,은평구,202606,4533
서울특별시,종로구,202606,11513
서울특별시,중구,202606,10261
서울특별시,중랑구,202606,7001
세종특별자치시,값없음,202606,6692
울산광역시,남구,202606,4969
울산광역시,동구,202606,11172
울산광역시,북구,202606,3021
울산광역시,울주군,202606,9229
울산광역시,중구,202606,1807
인천광역시,강화군,202606,1336
인천광역시,계양구,202606,3985
인천광역시,남동구,202606,13931
인천광역시,동구,202606,1059
인천광역시,미추홀구,202606,14806
인천광역시,부평구,202606,17740
인천광역시,서구,202606,16790
인천광역시,연수구,202606,18629
인천광역시,옹진군,202606,749
인천광역시,중구,202606,5803
전라남도,강진군,202606,822
전라남도,고흥군,202606,2948
전라남도,곡성군,202606,782
전라남도,광양시,202606,2359
전라남도,구례군,202606,233
전라남도,나주시,202606,6220
전라남도,담양군,202606,1418
전라남도,목포시,202606,5047
전라남도,무안군,202606,3518
전라남도,보성군,202606,1606
전라남도,순천시,202606,3962
전라남도,신안군,202606,2063
전라남도,여수시,202606,7356
전라남도,영광군,202606,1571
전라남도,영암군,202606,11288
전라남도,완도군,202606,5620
전라남도,장성군,202606,1566
전라남도,장흥군,202606,1291
전라남도,진도군,202606,3192
전라남도,함평군,202606,1435
전라남도,해남군,202606,4654
전라남도,화순군,202606,1382
전라북도,고창군,202606,1
전북특별자치도,고창군,202606,3724
전북특별자치도,군산시,202606,10407
전북특별자치도,김제시,202606,4127
