TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,all_amt_6m,all_cnt_6m,corp_amt_6m,corp_cnt_6m,corp_amt_share_pct,corp_cnt_share_pct,all_amt_growth_pct_m,noncorp_amt_growth_pct_m,corp_amt_growth_pct_m,corporate_growth_contribution_gap_pp_m
4004,대형할인점,경기도,용인시 처인구,4124270000,165105,135270000.0,9153.0,3.279853161892893,5.543744889615699,-4.614582165281413,-4.788937569775724,0.9798272391765785,0.1743554044943112
4004,대형할인점,경기도,의왕시,5330800000,205175,210290000.0,10374.0,3.9448112853605464,5.056171560862678,0.25081650747071893,0.1063811040847629,3.8859688486225443,0.14443540338595603
4004,대형할인점,경기도,의정부시,7622040000,308652,190190000.0,11590.0,2.495263735168013,3.755038036364579,-5.228824201651093,-5.225672015791208,-5.238841328754925,-0.0031521858598848596
4004,대형할인점,경기도,이천시,5012580000,123504,123280000.0,3822.0,2.4594121191083236,3.094636610959969,-2.9094335616291023,-3.082403521916506,4.09816305890171,0.17296996028740352
4004,대형할인점,경기도,파주시,17150170000,324378,692950000.0,13483.0,4.040484729888974,4.156570420928669,-2.622237243047026,-2.5742344307993066,-3.7197060029404714,-0.04800281224771963
4004,대형할인점,경기도,평택시,10178430000,310429,273870000.0,13665.0,2.6906900180086715,4.40197275383421,-3.9073724531472562,-4.022067101311714,0.5747252421151273,0.11469464816445818
4004,대형할인점,경기도,포천시,2866350000,76568,41540000.0,1933.0,1.4492298567865054,2.5245533382091736,-7.262495997182274,-7.311841380502098,-3.678910858255301,0.04934538331982363
4004,대형할인점,경기도,하남시,35959490000,722681,684270000.0,21498.0,1.9028912812723429,2.974756496988298,-3.2470113373059335,-3.3087179277124528,0.040998271724345364,0.06170659040651927
4004,대형할인점,경기도,화성시 동탄구,8419750000,343289,330160000.0,20498.0,3.921256569375575,5.971062282799624,-5.309390315415383,-5.503675464607919,-0.2263263236296975,0.19428514919253548
4004,대형할인점,경기도,화성시 만세구,2050230000,66135,43610000.0,2176.0,2.1270784253474,3.2902396612988585,-16.734731716517274,-16.88833811583222,-9.404758193875397,0.15360639931494546
4004,대형할인점,경기도,화성시 병점구,1867220000,86742,59870000.0,4230.0,3.2063709686057345,4.876530400498029,-9.276657987741132,-9.436443572085377,-4.295239892102446,0.15978558434424528
4004,대형할인점,경기도,화성시 효행구,3045380000,101410,64340000.0,3608.0,2.1127084304750148,3.5578345330835224,-2.4888677804088046,-2.510036564481858,-1.6578038528162662,0.021168784073053448
4004,대형할인점,경상남도,거제시,6353370000,198759,249320000.0,9191.0,3.9242165968611937,4.624193118299045,-5.606242976513271,-5.644349291655518,-4.553768321275708,0.038106315142246494
4004,대형할인점,경상남도,고성군,1026010000,28227,22300000.0,867.0,2.1734680948528764,3.071527261132958,-3.7859048623295206,-3.664335823834297,-9.413307923357078,-0.12156903849522349
4004,대형할인점,경상남도,김해시,21965190000,755777,438450000.0,22009.0,1.9961129405208877,2.9121023794055656,-2.8895372593332866,-2.8857352660967237,-3.1080959524390157,-0.0038019932365629394
4004,대형할인점,경상남도,밀양시,4042900000,122442,71800000.0,2940.0,1.7759529050928788,2.401136864801294,-2.929133397655079,-2.956771467074537,-1.4892663994155522,0.027638069419458233
4004,대형할인점,경상남도,사천시,5716680000,153461,144490000.0,5229.0,2.5275159708082313,3.4073803767732516,-2.9653685264031027,-2.874450303882564,-6.404808256091937,-0.09091822252053872
4004,대형할인점,경상남도,양산시,18081960000,565082,273120000.0,13693.0,1.5104557249324742,2.4231881390665424,-0.9878956921320318,-0.9707994121080374,-2.073160687343799,-0.017096280023994326
4004,대형할인점,경상남도,진주시,19534150000,507289,666900000.0,24526.0,3.4140210861491287,4.834719459716257,-3.6431931654981082,-3.722352795573441,-1.324664341959858,0.07915963007533255
4004,대형할인점,경상남도,창녕군,873010000,30526,16940000.0,545.0,1.940413053687816,1.7853632968616917,0.24879337666039592,0.40171064356627145,-7.44493895900344,-0.15291726690587554
4004,대형할인점,경상남도,창원시 마산합포구,7229900000,229846,153660000.0,7271.0,2.125340599455041,3.1634224654768848,-2.345029105573759,-2.3333972570669923,-2.9799757891518737,-0.011631848506766573
4004,대형할인점,경상남도,창원시 마산회원구,11187110000,358798,340390000.0,13265.0,3.042698248251783,3.6970663158657517,-4.096785738839986,-4.124102874603748,-3.396091834106032,0.027317135763762046
4004,대형할인점,경상남도,창원시 성산구,11724940000,415350,371870000.0,19893.0,3.1716153771362583,4.789454676778621,-2.195751125768953,-2.2479085734589765,-0.481355002923935,0.052157447690023506
4004,대형할인점,경상남도,창원시 의창구,11480400000,325480,286570000.0,10528.0,2.496167380927494,3.2346073491458767,-0.7004033556875194,-0.5962293586420209,-4.909501327894927,-0.10417399704549857
4004,대형할인점,경상남도,창원시 진해구,7086990000,243620,169230000.0,8447.0,2.3878966952119307,3.467285116164519,-2.822580581753685,-2.833429602968157,-2.318920150528745,0.010849021214471843
4004,대형할인점,경상남도,통영시,8250980000,206674,176370000.0,6168.0,2.1375642650933586,2.9844102306047207,-2.197417353743459,-2.2442994658848345,-0.07397513888437206,0.04688211214137539
4004,대형할인점,경상남도,합천군,183040000,7748,8210000.0,414.0,4.485358391608392,5.343314403717088,-2.245023626271335,-2.4633509068672086,2.4594304199261874,0.21832728059587359
4004,대형할인점,경상북도,경산시,5603020000,134786,74130000.0,2401.0,1.323036505313206,1.7813422759040256,-6.36394392113209,-6.338240791936697,-8.656824386778686,-0.025703129195392194
4004,대형할인점,경상북도,경주시,8345810000,243063,179730000.0,6718.0,2.153535726310568,2.7638924887786294,-3.3119663585186467,-3.2852200430013476,-4.512225216959738,-0.026746315517299113
4004,대형할인점,경상북도,구미시,9103030000,220394,216110000.0,7345.0,2.374044686219863,3.332667858471646,-3.920481988915872,-3.9586689128154737,-2.355241036474314,0.038186923899601766
4004,대형할인점,경상북도,김천시,4125780000,77283,93100000.0,2296.0,2.256543005201441,2.970899162817178,-1.4551933460925557,-1.4095439210571428,-3.3905717388484367,-0.045649425035412916
4004,대형할인점,경상북도,문경시,1136200000,36442,24420000.0,998.0,2.1492694948072524,2.7385983206190656,-7.354334128192999,-7.532330719311664,0.8944112535142918,0.1779965911186654
