SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM,amt_share_pct_202601,amt_share_pct_202606,cnt_share_pct_202601,cnt_share_pct_202606,amt_share_change_pp,cnt_share_change_pp
부산광역시,동래구,8021,스넥,3.256362333724056,4.125357229188731,4.154219302157142,4.627805127249106,0.8689948954646751,0.47358582509196356
부산광역시,동래구,8301,제과점,3.428009382824062,3.3199214403786765,5.251477574123572,5.0159725248005875,-0.10808794244538555,-0.23550504932298466
부산광역시,부산진구,4004,대형할인점,5.804835900459799,5.165492324090866,2.9108685387328834,2.4341660453118674,-0.6393435763689332,-0.476702493421016
부산광역시,부산진구,4010,편의점,12.844068227961284,14.354221616919052,30.315960260016645,31.35604581667537,1.510153388957768,1.040085556658724
부산광역시,부산진구,4020,슈퍼마켓,9.584857191873814,10.768501352880982,11.745285594016591,12.518568233032463,1.1836441610071677,0.7732826390158714
부산광역시,부산진구,8001,일반한식,42.88953119123985,41.67672054409135,20.541104333259586,19.757261989389107,-1.212810647148494,-0.7838423438704787
부산광역시,부산진구,8002,갈비전문점,0.26940910077292146,0.29392284372281324,0.06244690337107923,0.059625234094213664,0.02451374294989178,-0.002821669276865564
부산광역시,부산진구,8004,일식회집,4.298047984075749,3.868302546994112,1.6483779608404279,1.418261293416563,-0.42974543708163715,-0.23011666742386483
부산광역시,부산진구,8005,중국음식,2.8219360644059592,2.7907895479428864,1.7867763893238784,1.724166467364184,-0.03114651646307287,-0.06260992195969428
부산광역시,부산진구,8006,서양음식,14.285669651327531,13.32848653028888,21.33342336414494,20.773911539489614,-0.9571831210386517,-0.5595118246553277
부산광역시,부산진구,8021,스넥,4.176735778551116,4.504971212013115,5.048142539845817,4.966521320676177,0.328235433461999,-0.08162121916963994
부산광역시,부산진구,8301,제과점,3.024908909331979,3.2485914810559393,4.6076141164481506,4.991472060550439,0.22368257172396033,0.3838579441022887
부산광역시,북구,4004,대형할인점,49.89192897366863,45.92605412558871,32.42232022785904,28.253438956093813,-3.9658748480799133,-4.168881271765226
부산광역시,북구,4010,편의점,6.4049528799987,7.464475564526444,18.63077935633564,20.149415753230198,1.0595226845277432,1.518636396894557
부산광역시,북구,4020,슈퍼마켓,7.867253186747619,8.81938768134074,12.356438962203288,13.242277309848413,0.9521344945931203,0.8858383476451248
부산광역시,북구,8001,일반한식,22.63820316319131,23.583053919851423,13.440331407660874,13.890334738049246,0.944850756660113,0.4500033303883715
부산광역시,북구,8002,갈비전문점,0.4090231737953422,0.39527971930761063,0.10112424451728427,0.08962718431468605,-0.013743454487731566,-0.01149706020259822
부산광역시,북구,8004,일식회집,1.565497614093023,1.8044758981544808,0.8165599696057781,0.9118591795494146,0.23897828406145782,0.0952992099436365
부산광역시,북구,8005,중국음식,1.3401619551588315,1.3082736973215228,1.1052888061237525,1.076361247654941,-0.03188825783730875,-0.028927558468811565
부산광역시,북구,8006,서양음식,5.30068630824648,5.706012533293299,13.219289917432828,14.336174310956226,0.40532622504681903,1.1168843935233976
부산광역시,북구,8021,스넥,2.492168819718181,2.909584021441162,3.9492963200700304,4.066485556662752,0.4174152017229811,0.11718923659272118
부산광역시,북구,8301,제과점,2.0901239253818855,2.0834028391746044,3.9585707881914867,3.984025763640311,-0.006721086207281068,0.025454975448824246
부산광역시,사상구,4004,대형할인점,18.149741760671052,13.996056338028168,8.069386167931095,5.93690355092754,-4.153685422642884,-2.1324826170035545
부산광역시,사상구,4010,편의점,12.694543999486237,14.739098591549297,30.750868318518954,31.809718592856452,2.0445545920630597,1.0588502743374981
부산광역시,사상구,4020,슈퍼마켓,15.61977438947579,17.71329577464789,19.243568714756403,20.448655507190637,2.0935213851720995,1.2050867924342334
부산광역시,사상구,8001,일반한식,38.057696915207096,36.99323943661972,19.109066093552578,17.946759450628843,-1.0644574785873786,-1.1623066429237348
부산광역시,사상구,8002,갈비전문점,0.10966835203541003,0.12230985915492958,0.04241073641562081,0.053377137332005796,0.012641507119519543,0.010966400916384983
부산광역시,사상구,8003,한정식,0.0825600150176482,0.0736338028169014,0.049460832858737,0.0381008522369873,-0.008926212200746797,-0.011359980621749699
부산광역시,사상구,8004,일식회집,1.3721511546052063,1.4138028169014085,0.47610182542419,0.4545144118270796,0.04165166229620221,-0.021587413597110416
부산광역시,사상구,8005,중국음식,2.162183190608042,2.1979154929577462,1.4256616901064012,1.4320169369071454,0.03573230234970426,0.006355246800744174
부산광역시,사상구,8006,서양음식,7.461399951093843,7.520225352112677,15.487299361415483,15.847528297071625,0.05882540101883382,0.3602289356561421
부산광역시,사상구,8021,스넥,2.477603203106282,3.125690140845071,2.563811634641971,2.9742028474995417,0.648086937738789,0.41039121285757085
부산광역시,사상구,8301,제과점,1.8126770686933906,2.1047323943661973,2.7823646243785727,3.0582224155221436,0.2920553256728067,0.2758577911435709
부산광역시,사하구,4004,대형할인점,8.271655051368395,6.7223372322218715,4.060777067660978,3.246586754820769,-1.5493178191465233,-0.8141903128402088
부산광역시,사하구,4010,편의점,14.870535637717037,15.941030095402695,31.640395083165178,32.415729268506084,1.0704944576856583,0.7753341853409061
부산광역시,사하구,4020,슈퍼마켓,15.574142573736657,16.00123279268173,17.107506712831103,16.89317655293621,0.4270902189450734,-0.21433015989489235
부산광역시,사하구,8001,일반한식,39.94351477591717,39.735563987787025,18.20800345759377,17.857596634116092,-0.2079507881301481,-0.3504068234776767
부산광역시,사하구,8002,갈비전문점,0.15344771400639176,0.13066215039079726,0.04871719290397121,0.04047581912178124,-0.0227855636155945,-0.008241373782189969
부산광역시,사하구,8004,일식회집,2.2570649408563117,2.0932205321422943,0.7003333431273215,0.6940233496783619,-0.1638444087140174,-0.006309993448959661
부산광역시,사하구,8005,중국음식,2.6891654708340718,2.3855132986024055,1.7667090967510184,1.5759701452792794,-0.3036521722316663,-0.19073895147173903
부산광역시,사하구,8006,서양음식,8.735142613756555,8.921544241302321,17.558662040113017,17.975676467343547,0.1864016275457665,0.41701442723053006
부산광역시,사하구,8021,스넥,3.806692469970786,4.484877974335317,4.034238518997336,4.491522522282623,0.6781855043645315,0.4572840032852872
부산광역시,사하구,8301,제과점,3.6986387518366275,3.5840176951335407,4.87465748685631,4.809242485915252,-0.11462105670308675,-0.06541500094105768
부산광역시,서구,4004,대형할인점,1.5756013892325942,0.6683442920150445,1.7169905256547855,0.7952920512079507,-0.9072570972175497,-0.9216984744468348
부산광역시,서구,4010,편의점,16.02856972189748,15.97275211732554,32.49447725982022,32.353448955311265,-0.055817604571940294,-0.1410283045089571
부산광역시,서구,4020,슈퍼마켓,12.68297678070093,14.30337960332278,14.598797631288607,15.565055190040647,1.62040282262185,0.9662575587520408
부산광역시,서구,8001,일반한식,43.21571505371756,41.703601482804345,17.589708564437807,17.151886144503703,-1.5121135709132147,-0.4378224199341041
부산광역시,서구,8002,갈비전문점,0.10615511959517693,0.08807533078983683,0.030021690671510167,0.024207804295853147,-0.0180797888053401,-0.00581388637565702
부산광역시,서구,8004,일식회집,3.1355013781392134,3.4100441053115786,0.8668763181398561,0.8838663428951032,0.2745427271723653,0.016990024755247135
부산광역시,서구,8005,중국음식,2.9928234360466606,2.6647184565846795,1.8448328917642995,1.7059934019658989,-0.32810497946198103,-0.13883948979840066
부산광역시,서구,8006,서양음식,12.15185984793535,12.057255729631734,21.872803100239924,21.907124600758888,-0.09460411830361615,0.03432150051896343
부산광역시,서구,8021,스넥,4.980927918625786,5.344454365884676,5.029633910500336,4.923191827145018,0.3635264472588897,-0.10644208335531768
부산광역시,서구,8301,제과점,3.1298693541092444,3.787374516329789,3.955858107482656,4.689933681875673,0.6575051622205446,0.734075574393017
부산광역시,수영구,4004,대형할인점,0.8861197027395873,0.5079854455634097,1.0654968467644705,0.7077977817861424,-0.37813425717617755,-0.35769906497832815
부산광역시,수영구,4010,편의점,10.941781536242768,12.141054982550678,26.816464061656458,27.450301950863498,1.1992734463079096,0.6338378892070402
부산광역시,수영구,4020,슈퍼마켓,14.11230102682376,14.842967365202997,18.977561052531293,18.77285429594588,0.7306663383792369,-0.20470675658541282
부산광역시,수영구,8001,일반한식,44.6767263213726,42.80092897782015,19.576889340541772,18.856897601409734,-1.875797343552449,-0.7199917391320376
부산광역시,수영구,8002,갈비전문점,0.045709449996722266,0.040904773012315376,0.014783358100020915,0.012667944805575407,-0.00480467698440689,-0.002115413294445508
부산광역시,수영구,8004,일식회집,5.784897407016729,5.325790177670952,1.7821064423684474,1.5645857203900972,-0.4591072293457765,-0.21752072197835015
부산광역시,수영구,8005,중국음식,2.768729253452047,2.600720960710008,1.6856313424712739,1.5258255907610976,-0.168008292742039,-0.1598057517101763
부산광역시,수영구,8006,서양음식,13.774635128934024,14.149670902508038,20.7578058868427,21.56235464951389,0.3750357735740142,0.8045487626711889
부산광역시,수영구,8021,스넥,3.17242653412714,3.8411046767790475,3.89514109346477,4.249339187058276,0.6686781426519075,0.3541980935935065
부산광역시,수영구,8301,제과점,3.836673639294632,3.7488717381824084,5.428120575258791,5.297375277465806,-0.08780190111222375,-0.13074529779298505
