SIDO_NM,CCG_NM,TP_BUZ_NO,TP_BUZ_NM_CLEAN,external_source,source_scope,amt_growth_pct_m,cnt_growth_pct_m,supply_growth_pct_m,amt_per_supply_growth_pct_m,cnt_per_supply_growth_pct_m,amt_robust,cnt_robust,supply_robust,total_cnt_6m,mean_supply,amt_direction,cnt_direction,supply_direction,cnt_supply_type,amt_supply_type,three_method_robust,quadrant
전라남도,보성군,4010,편의점,국세청,가동사업자,6.269973673917917,7.670295406006493,0.0,6.269973673917857,7.670295406006519,True,True,False,76456.0,25.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,보성군,4020,슈퍼마켓,국세청,가동사업자,0.5075740028199072,2.3868064609085136,0.0,0.5075740028199123,2.3868064609085184,True,True,False,91695.0,43.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,보성군,8005,중국음식,LOCALDATA,식품인허가 영업점,2.88522844274658,3.2142663119334314,0.0,2.885228442746554,3.2142663119334314,True,True,False,10394.0,20.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,보성군,8301,제과점,LOCALDATA,식품인허가 영업점,0.6177876189966766,0.2692438024055264,0.0,0.6177876189966153,0.2692438024055314,True,True,False,18743.0,13.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,순천시,4010,편의점,국세청,가동사업자,2.73773312466205,4.12811048316575,-0.2346386372380233,2.9793624974625024,4.373009891218789,True,True,True,1024167.0,242.33333333333337,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,True,증가 소비·정체 공급
전라남도,순천시,4020,슈퍼마켓,국세청,가동사업자,-0.1799966400919566,1.8377334863632209,-0.0637350081902726,-0.1163357785196897,1.9026811685521,True,True,False,776739.0,180.0,정체,증가,정체,증가 소비·정체 공급,정체 소비·정체 공급,False,증가 소비·정체 공급
전라남도,순천시,8005,중국음식,LOCALDATA,식품인허가 영업점,-0.8322294411431018,-0.6601542106400718,-0.2291800943581583,-0.6044345905498512,-0.4319640919955396,True,True,True,53384.0,161.83333333333334,감소,감소,정체,감소 소비·정체 공급,감소 소비·정체 공급,True,감소 소비·정체 공급
전라남도,순천시,8301,제과점,LOCALDATA,식품인허가 영업점,3.018452328207794,3.0078868318326157,0.7797013638481692,2.221430440914868,2.210946686515704,True,True,True,148153.0,121.83333333333331,증가,증가,증가,증가 소비·증가 공급,증가 소비·증가 공급,True,증가 소비·증가 공급
전라남도,신안군,4010,편의점,국세청,가동사업자,6.745340050157375,6.956476351684097,-0.8132240651110881,7.620536149123584,7.833403539495645,True,True,False,51300.0,17.166666666666668,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,False,증가 소비·감소 공급
전라남도,신안군,4020,슈퍼마켓,국세청,가동사업자,-0.1826819528679098,0.780187142577713,0.7283240039926973,-0.904418857226808,0.0514881381158959,False,True,True,40289.0,31.666666666666668,정체,증가,증가,증가 소비·증가 공급,정체 소비·증가 공급,True,증가 소비·증가 공급
전라남도,신안군,8005,중국음식,LOCALDATA,식품인허가 영업점,6.041845478083248,5.923511685118754,-1.3103101295719513,7.449770707870316,7.329865788602787,True,True,True,4972.0,19.5,증가,증가,감소,증가 소비·감소 공급,증가 소비·감소 공급,True,증가 소비·감소 공급
전라남도,신안군,8301,제과점,LOCALDATA,식품인허가 영업점,3.543928478216609,12.340606871714703,0.0,3.5439284782166345,12.3406068717147,True,True,False,1350.0,8.0,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,여수시,4010,편의점,국세청,가동사업자,2.665669381043993,3.605049970260038,-0.1502667832481142,2.820173948967169,3.760968239500624,True,True,False,1452345.0,343.3333333333333,증가,증가,정체,증가 소비·정체 공급,증가 소비·정체 공급,False,증가 소비·정체 공급
전라남도,여수시,4020,슈퍼마켓,국세청,가동사업자,-0.8456387992588927,1.0315432817118224,-0.1958010078777233,-0.6511126765643321,1.2297521567067626,True,True,True,697592.0,232.33333333333337,감소,증가,정체,증가 소비·정체 공급,감소 소비·정체 공급,True,증가 소비·정체 공급
전라남도,여수시,8005,중국음식,LOCALDATA,식품인허가 영업점,-0.5085536399971353,0.7136054665869236,-0.5055036417881961,-0.0030654943947308,1.2253030599662138,True,True,True,76540.0,129.83333333333334,감소,증가,감소,증가 소비·감소 공급,감소 소비·감소 공급,True,증가 소비·감소 공급
전라남도,여수시,8301,제과점,LOCALDATA,식품인허가 영업점,0.1191977357961777,1.1006501948919534,0.8922272839997629,-0.766193361979844,0.2065797499994537,False,True,True,143228.0,99.16666666666669,정체,증가,증가,증가 소비·증가 공급,정체 소비·증가 공급,True,증가 소비·증가 공급
