TP_BUZ_NO,TP_BUZ_NM,SIDO_NM,CCG_NM,foreign_amt_6m,foreign_cnt_6m,foreign_amt_growth_pct_m,foreign_cnt_growth_pct_m,foreign_amt_change_mar_jun_pct,foreign_cnt_change_mar_jun_pct,all_amt,all_cnt,foreign_amt_share_pct,foreign_cnt_share_pct,registered_foreigner_change_pct,store_lq
4004,대형할인점,경기도,과천시,36720000,1417,4.466896815360106,2.2823438825992803,-12.25352112676056,-9.230769230769226,1999580000,79734,1.8363856409846069,1.7771590538540647,11.297071129707106,
4004,대형할인점,경기도,광명시,191680000,8818,-1.3983400094873115,-1.0582118751719727,-6.625,-3.161512027491412,7805350000,384192,2.455751503776256,2.295206563384974,-2.3194168323393,
4004,대형할인점,경기도,광주시,431160000,9103,-0.7092830805757134,1.3234015909388772,-12.594113620807661,-2.744310575635879,5535510000,129360,7.788984212836758,7.036951144094002,-0.3438878795743534,
4004,대형할인점,경기도,구리시,65640000,1822,1.4773246698485965,3.711133613862807,5.3370786516854025,-3.6253776435045353,4243780000,128331,1.5467342793453007,1.419766073668872,1.1402508551881425,
4004,대형할인점,경기도,군포시,681600000,17185,-2.0149527618503886,0.9260367312112744,-11.154192966636614,-7.457627118644069,13809800000,424359,4.9356254254225265,4.049637217544579,-3.1629338348435567,
4004,대형할인점,경기도,김포시,1435230000,34940,-4.396789922103463,-1.6645757888732682,-8.686192468619254,-6.159052453468689,17209660000,473928,8.339676669963266,7.372427879340322,-0.8474255665266952,
4004,대형할인점,경기도,남양주시,528060000,16868,-1.5976898103310704,-0.12300554975326204,-11.368677905944992,-12.44115669132482,16261310000,465962,3.2473398514633813,3.620037685476498,-0.09845426799252266,
4004,대형할인점,경기도,동두천시,51960000,1285,-6.353888018599847,-2.659985592485385,-15.154994259471877,-8.108108108108098,1044040000,29543,4.9768208114631625,4.349592119960735,0.04513653802753481,
4004,대형할인점,경기도,부천시 소사구,1681510000,44303,-6.183568213478381,-2.968823570915075,-16.943521594684384,-13.989637305699489,16385470000,434410,10.26220181660947,10.198430054556756,-3.7034061696658114,
4004,대형할인점,경기도,부천시 오정구,7740000,487,-22.144310147861194,-19.66908856957433,-12.295081967213122,-25.301204819277118,169800000,11394,4.558303886925795,4.2741793926628056,-0.23276112889148237,
4004,대형할인점,경기도,부천시 원미구,851090000,19728,-2.0437382342198327,-0.3285541336483052,-16.33986928104575,-15.70559258186033,17209740000,455676,4.945397199492845,4.329391936375846,-0.6218132073125275,
4004,대형할인점,경기도,성남시 분당구,690350000,17913,-2.863943492639388,-1.596931478572754,-15.8780321147933,-13.716108452950564,23799430000,695138,2.9006997226404163,2.576898400029922,0.9615384615384528,
4004,대형할인점,경기도,성남시 수정구,611520000,17106,-3.3203408654244773,-1.3049951499825196,-8.00853209230172,-5.719237435008665,9722810000,290088,6.289539752396683,5.896831306362207,-2.5314374948631553,
