"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상"
"서울특별시 동작구 (1159000000)","371,748","371,748","17,285","24,852","59,634","61,559","50,995","56,388","49,944","33,209","15,535","2,291","56","371,746","371,746","17,141","25,028","59,504","61,480","50,822","56,426","50,026","33,338","15,613","2,313","55","372,236","372,236","17,123","25,183","59,493","61,867","50,606","56,406","50,004","33,450","15,686","2,363","55","372,250","372,250","17,119","25,098","59,337","62,130","50,585","56,340","49,938","33,526","15,732","2,393","52","372,327","372,327","17,184","25,072","59,142","62,240","50,561","56,362","49,858","33,625","15,799","2,433","51","371,999","371,999","17,195","24,943","59,040","62,224","50,513","56,362","49,709","33,629","15,893","2,441","50"
"서울특별시 관악구 (1162000000)","477,657","477,657","13,821","23,573","101,295","94,163","57,635","64,521","59,954","41,443","18,937","2,272","43","478,195","478,195","13,701","23,837","101,607","94,012","57,603","64,490","59,972","41,602","19,004","2,323","44","478,468","478,468","13,604","23,981","101,639","94,333","57,428","64,255","59,888","41,848","19,072","2,376","44","478,144","478,144","13,592","23,866","101,354","94,527","57,306","64,154","59,866","41,889","19,159","2,385","46","478,154","478,154","13,493","23,713","101,222","94,814","57,267","64,093","59,848","41,990","19,244","2,423","47","477,797","477,797","13,428","23,578","100,974","94,944","57,252","64,000","59,785","42,066","19,310","2,414","46"
"서울특별시 서초구 (1165000000)","415,407","415,407","26,475","45,878","48,018","57,732","71,400","68,391","48,842","32,723","13,678","2,203","67","415,691","415,691","26,528","45,925","47,773","57,559","71,608","68,523","48,832","32,907","13,750","2,216","70","415,540","415,540","26,419","45,866","47,625","57,607","71,237","68,607","48,907","33,108","13,852","2,243","69","414,999","414,999","26,321","45,808","47,403","57,474","71,070","68,642","48,876","33,183","13,897","2,258","67","414,486","414,486","26,155","45,695","47,337","57,397","70,844","68,703","48,805","33,235","13,981","2,272","62","414,383","414,383","26,056","45,656","47,266","57,312","70,769","68,785","48,785","33,317","14,097","2,275","65"
"서울특별시 강남구 (1168000000)","555,787","555,787","31,890","63,952","62,843","80,365","99,993","88,546","63,692","44,469","17,200","2,750","87","555,502","555,502","31,925","63,898","62,394","80,006","100,128","88,597","63,683","44,729","17,276","2,778","88","554,165","554,165","31,704","63,720","61,970","79,863","99,618","88,450","63,558","45,025","17,376","2,791","90","553,260","553,260","31,530","63,697","61,668","79,568","99,277","88,571","63,442","45,132","17,458","2,823","94","552,962","552,962","31,350","63,642","61,536","79,459","99,093","88,725","63,323","45,359","17,529","2,852","94","552,830","552,830","31,251","63,625","61,459","79,268","98,953","88,838","63,359","45,449","17,677","2,859","92"
"서울특별시 송파구 (1171000000)","645,821","645,821","39,373","57,261","75,979","106,174","104,389","98,418","87,868","53,845","19,183","3,243","88","649,042","649,042","39,847","57,630","75,783","106,555","105,192","98,803","88,176","54,370","19,321","3,275","90","650,071","650,071","39,789","57,672","75,597","106,838","105,086","98,853","88,447","54,927","19,444","3,327","91","650,447","650,447","39,717","57,719","75,289","107,019","105,090","98,826","88,622","55,190","19,550","3,334","91","650,505","650,505","39,603","57,791","75,061","107,058","105,074","98,775","88,636","55,405","19,663","3,353","86","650,258","650,258","39,498","57,850","74,920","106,828","105,181","98,757","88,451","55,589","19,760","3,336","88"
"서울특별시 강동구 (1174000000)","499,307","499,307","31,978","43,782","55,452","77,365","81,178","75,300","72,156","44,235","15,340","2,451","70","500,063","500,063","32,044","43,851","55,333","77,376","81,515","75,377","72,142","44,480","15,407","2,468","70","499,795","499,795","31,886","43,868","54,957","77,471","81,398","75,204","72,119","44,817","15,499","2,503","73","499,460","499,460","31,756","43,902","54,712","77,407","81,229","75,196","72,075","45,067","15,516","2,527","73","499,058","499,058","31,648","43,907","54,360","77,330","81,146","75,200","71,984","45,291","15,571","2,543","78","499,011","499,011","31,553","44,016","54,181","77,216","81,255","75,158","71,904","45,440","15,672","2,536","80"
"부산광역시  (2600000000)","3,239,711","3,239,711","168,926","265,123","336,648","388,026","459,235","528,984","552,024","367,173","151,912","21,216","444","3,239,016","3,239,016","168,293","265,659","335,436","387,259","458,637","528,397","552,184","369,121","152,147","21,432","451","3,237,227","3,237,227","167,345","266,150","333,602","387,891","457,211","526,337","552,343","371,416","152,755","21,706","471","3,235,361","3,235,361","166,618","266,138","332,238","388,058","456,410","525,494","551,990","373,190","152,894","21,856","475","3,234,293","3,234,293","165,892","266,175","331,269","388,320","455,888","524,545","551,537","374,713","153,457","22,017","480","3,232,370","3,232,370","165,292","266,032","330,103","388,502","455,808","523,555","551,101","375,719","153,802","21,978","478"
"부산광역시 중구 (2611000000)","36,449","36,449","614","1,494","4,617","4,024","3,889","5,924","7,242","5,697","2,589","349","10","36,399","36,399","602","1,511","4,631","4,006","3,837","5,894","7,251","5,724","2,584","348","11","36,391","36,391","599","1,516","4,634","4,014","3,829","5,854","7,241","5,747","2,589","357","11","36,397","36,397","603","1,514","4,643","4,013","3,810","5,861","7,235","5,761","2,589","357","11","36,375","36,375","605","1,516","4,632","4,014","3,811","5,834","7,225","5,775","2,598","354","11","36,306","36,306","595","1,519","4,610","3,991","3,796","5,826","7,202","5,782","2,622","353","10"
"부산광역시 서구 (2614000000)","101,633","101,633","4,091","6,996","10,570","10,114","12,663","16,492","18,943","14,173","6,608","957","26","101,572","101,572","4,048","7,062","10,525","10,051","12,646","16,461","18,913","14,252","6,629","958","27","101,452","101,452","4,005","7,097","10,533","10,031","12,555","16,384","18,901","14,316","6,642","958","30","101,312","101,312","4,000","7,060","10,471","10,047","12,502","16,328","18,879","14,370","6,666","959","30","101,320","101,320","4,003","7,054","10,458","10,080","12,474","16,307","18,840","14,435","6,676","964","29","101,216","101,216","3,977","7,033","10,439","10,073","12,459","16,286","18,802","14,457","6,689","973","28"
"부산광역시 동구 (2617000000)","83,765","83,765","3,442","4,499","7,980","10,614","10,494","13,503","15,043","11,667","5,684","825","14","83,553","83,553","3,383","4,491","7,929","10,549","10,457","13,493","15,053","11,667","5,677","839","15","83,530","83,530","3,374","4,494","7,873","10,559","10,422","13,467","15,042","11,753","5,684","845","17","83,475","83,475","3,373","4,484","7,859","10,518","10,424","13,443","15,007","11,778","5,700","872","17","83,432","83,432","3,365","4,481","7,835","10,542","10,394","13,422","14,987","11,811","5,702","876","17","83,354","83,354","3,342","4,488","7,777","10,581","10,401","13,373","14,957","11,836","5,714","868","17"
