SIDO_NM,CCG_NM,STRD_YYMM,AGE_CD,population_age,population_total
강원특별자치도,양구군,202602,2,2108.0,20382.0
강원특별자치도,양구군,202602,3,2166.0,20382.0
강원특별자치도,양구군,202602,4,2232.0,20382.0
강원특별자치도,양구군,202602,5,3020.0,20382.0
강원특별자치도,양구군,202602,6,7793.0,20382.0
강원특별자치도,양구군,202603,1,3054.0,20368.0
강원특별자치도,양구군,202603,2,2082.0,20368.0
강원특별자치도,양구군,202603,3,2174.0,20368.0
강원특별자치도,양구군,202603,4,2238.0,20368.0
강원특별자치도,양구군,202603,5,3013.0,20368.0
강원특별자치도,양구군,202603,6,7807.0,20368.0
강원특별자치도,양구군,202604,1,3034.0,20349.0
강원특별자치도,양구군,202604,2,2087.0,20349.0
강원특별자치도,양구군,202604,3,2162.0,20349.0
강원특별자치도,양구군,202604,4,2234.0,20349.0
강원특별자치도,양구군,202604,5,3011.0,20349.0
강원특별자치도,양구군,202604,6,7821.0,20349.0
강원특별자치도,양구군,202605,1,3027.0,20358.0
강원특별자치도,양구군,202605,2,2065.0,20358.0
강원특별자치도,양구군,202605,3,2187.0,20358.0
강원특별자치도,양구군,202605,4,2241.0,20358.0
강원특별자치도,양구군,202605,5,3013.0,20358.0
강원특별자치도,양구군,202605,6,7825.0,20358.0
강원특별자치도,양구군,202606,1,3015.0,20372.0
강원특별자치도,양구군,202606,2,2087.0,20372.0
강원특별자치도,양구군,202606,3,2190.0,20372.0
강원특별자치도,양구군,202606,4,2243.0,20372.0
강원특별자치도,양구군,202606,5,3012.0,20372.0
강원특별자치도,양구군,202606,6,7825.0,20372.0
강원특별자치도,양양군,202601,1,2754.0,27349.0
강원특별자치도,양양군,202601,2,1847.0,27349.0
강원특별자치도,양양군,202601,3,2036.0,27349.0
강원특별자치도,양양군,202601,4,3122.0,27349.0
강원특별자치도,양양군,202601,5,4646.0,27349.0
강원특별자치도,양양군,202601,6,12944.0,27349.0
강원특별자치도,양양군,202602,1,2773.0,27390.0
강원특별자치도,양양군,202602,2,1828.0,27390.0
강원특별자치도,양양군,202602,3,2039.0,27390.0
강원특별자치도,양양군,202602,4,3132.0,27390.0
강원특별자치도,양양군,202602,5,4636.0,27390.0
강원특별자치도,양양군,202602,6,12982.0,27390.0
강원특별자치도,양양군,202603,1,2769.0,27364.0
강원특별자치도,양양군,202603,2,1803.0,27364.0
강원특별자치도,양양군,202603,3,2026.0,27364.0
강원특별자치도,양양군,202603,4,3145.0,27364.0
강원특별자치도,양양군,202603,5,4603.0,27364.0
강원특별자치도,양양군,202603,6,13018.0,27364.0
강원특별자치도,양양군,202604,1,2774.0,27406.0
강원특별자치도,양양군,202604,2,1795.0,27406.0
강원특별자치도,양양군,202604,3,2031.0,27406.0
강원특별자치도,양양군,202604,4,3136.0,27406.0
강원특별자치도,양양군,202604,5,4616.0,27406.0
강원특별자치도,양양군,202604,6,13054.0,27406.0
강원특별자치도,양양군,202605,1,2764.0,27417.0
강원특별자치도,양양군,202605,2,1808.0,27417.0
강원특별자치도,양양군,202605,3,2035.0,27417.0
강원특별자치도,양양군,202605,4,3104.0,27417.0
강원특별자치도,양양군,202605,5,4632.0,27417.0
강원특별자치도,양양군,202605,6,13074.0,27417.0
강원특별자치도,양양군,202606,1,2749.0,27326.0
강원특별자치도,양양군,202606,2,1789.0,27326.0
