BC업종,SEMAS소분류코드,SEMAS소분류명,매핑신뢰도,API관측업종명,전국점포수,시도코드,시도,시군구코드,시군구,점포수
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12800,영암군,61
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52770,순창군,16
편의점,G20405,편의점,HIGH,편의점,54446,12,전남광주통합특별시,12830,영광군,41
편의점,G20405,편의점,HIGH,편의점,54446,47,경상북도,47820,청도군,28
편의점,G20405,편의점,HIGH,편의점,54446,27,대구광역시,27720,군위군,18
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52740,장수군,15
편의점,G20405,편의점,HIGH,편의점,54446,52,전북특별자치도,52720,진안군,14
편의점,G20405,편의점,HIGH,편의점,54446,48,경상남도,48870,함양군,29
편의점,G20405,편의점,HIGH,편의점,54446,43,충청북도,43740,영동군,34
편의점,G20405,편의점,HIGH,편의점,54446,44,충청남도,44790,청양군,29
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41220,평택시,706
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,28,인천광역시,28125,제물포구,230
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11590,동작구,252
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,12,전남광주통합특별시,12850,완도군,187
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11500,강서구,432
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,28,인천광역시,28290,검단구,173
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11560,영등포구,479
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11110,종로구,306
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11440,마포구,293
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11140,중구,419
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11170,용산구,228
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,30,대전광역시,30140,중구,318
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,41,경기도,41370,오산시,263
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,26,부산광역시,26710,기장군,218
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,48,경상남도,48250,김해시,677
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11260,중랑구,357
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,30,대전광역시,30230,대덕구,239
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11290,성북구,326
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11530,구로구,431
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,11,서울특별시,11380,은평구,300
슈퍼마켓,G20404,슈퍼마켓,HIGH,슈퍼마켓,63862,47,경상북도,47850,칠곡군,204
