STRD_YYMM,SIDO_NM,CCG_NM,living_population,resident_population_pdf,stay_population,registered_foreigner_population
202602,강원특별자치도,고성군,345642,26942,316796,1904
202602,강원특별자치도,삼척시,313342,60135,251973,1234
202602,강원특별자치도,양구군,78002,20382,57304,316
202602,강원특별자치도,양양군,355073,27390,327130,553
202602,강원특별자치도,영월군,215915,35917,179382,616
202602,강원특별자치도,정선군,354387,35001,319007,379
202602,강원특별자치도,철원군,205715,39818,165049,848
202602,강원특별자치도,태백시,205107,36886,167842,379
202602,강원특별자치도,평창군,562073,39949,521406,718
202602,강원특별자치도,홍천군,570999,65937,503856,1206
202602,강원특별자치도,화천군,110433,22284,87870,279
202602,강원특별자치도,횡성군,314174,45583,267116,1475
202602,경기도,가평군,612089,62030,548347,1712
202602,경기도,연천군,209735,42578,165689,1468
202602,경상남도,거창군,207868,58737,147986,1145
202602,경상남도,고성군,248310,46901,199491,1918
202602,경상남도,남해군,297711,40887,255830,994
202602,경상남도,밀양시,483020,98901,378494,5625
202602,경상남도,산청군,187659,32679,153740,1240
202602,경상남도,의령군,130570,24531,105058,981
202602,경상남도,창녕군,312266,54883,253536,3847
202602,경상남도,하동군,202968,39835,162094,1039
202602,경상남도,함안군,281593,57345,219261,4987
202602,경상남도,함양군,148153,35388,112199,566
202602,경상남도,합천군,221704,39011,181627,1066
202602,경상북도,고령군,166365,29625,134305,2435
202602,경상북도,문경시,331404,64989,265190,1225
202602,경상북도,봉화군,124779,28158,96203,418
202602,경상북도,상주시,384185,89602,292627,1956
202602,경상북도,성주군,214747,40571,171616,2560
202602,경상북도,안동시,570453,151745,416722,1986
202602,경상북도,영덕군,308603,32589,275061,953
202602,경상북도,영양군,67874,15986,51687,201
202602,경상북도,영주시,317205,96790,218878,1537
202602,경상북도,영천시,417400,94756,318468,4176
202602,경상북도,울릉군,25664,8724,16788,152
202602,경상북도,울진군,293124,45962,246024,1138
202602,경상북도,의성군,212288,47868,163521,899
202602,경상북도,청도군,345276,40119,304057,1100
202602,경상북도,청송군,133874,23313,110270,291
202602,대구광역시,군위군,174431,22567,151325,539
202602,대구광역시,남구,610683,137746,470518,2419
202602,대구광역시,서구,598765,163987,431902,2876
202602,부산광역시,동구,712740,83553,626811,2376
202602,부산광역시,서구,479817,101572,375264,2981
202602,부산광역시,영도구,443781,100944,340604,2233
202602,인천광역시,강화군,543073,69677,471985,1411
202602,인천광역시,옹진군,176312,19455,156288,569
202602,전라남도,강진군,183152,31759,150701,692
202602,전라남도,고흥군,283879,59317,221877,2685
202602,전라남도,곡성군,143422,27499,115318,605
202602,전라남도,구례군,147503,23904,123341,258
202602,전라남도,담양군,385650,44108,340187,1355
202602,전라남도,보성군,217791,36819,179894,1078
202602,전라남도,신안군,167809,41889,124397,1523
