BC업종,시도코드,시도,시군구코드,시군구,점포수
갈비전문점,47,경상북도,47750,청송군,46
갈비전문점,47,경상북도,47760,영양군,12
갈비전문점,47,경상북도,47770,영덕군,59
갈비전문점,47,경상북도,47820,청도군,95
갈비전문점,47,경상북도,47830,고령군,64
갈비전문점,47,경상북도,47840,성주군,53
갈비전문점,47,경상북도,47850,칠곡군,218
갈비전문점,47,경상북도,47900,예천군,103
갈비전문점,47,경상북도,47920,봉화군,67
갈비전문점,47,경상북도,47930,울진군,89
갈비전문점,47,경상북도,47940,울릉군,19
갈비전문점,48,경상남도,48121,창원시 의창구,305
갈비전문점,48,경상남도,48123,창원시 성산구,322
갈비전문점,48,경상남도,48125,창원시 마산합포구,271
갈비전문점,48,경상남도,48127,창원시 마산회원구,215
갈비전문점,48,경상남도,48129,창원시 진해구,283
갈비전문점,48,경상남도,48170,진주시,578
갈비전문점,48,경상남도,48220,통영시,179
갈비전문점,48,경상남도,48240,사천시,201
갈비전문점,48,경상남도,48250,김해시,894
갈비전문점,48,경상남도,48270,밀양시,195
갈비전문점,48,경상남도,48310,거제시,347
갈비전문점,48,경상남도,48330,양산시,490
갈비전문점,48,경상남도,48720,의령군,46
갈비전문점,48,경상남도,48730,함안군,105
갈비전문점,48,경상남도,48740,창녕군,118
갈비전문점,48,경상남도,48820,고성군,93
갈비전문점,48,경상남도,48840,남해군,53
갈비전문점,48,경상남도,48850,하동군,63
갈비전문점,48,경상남도,48860,산청군,56
갈비전문점,48,경상남도,48870,함양군,74
갈비전문점,48,경상남도,48880,거창군,117
갈비전문점,48,경상남도,48890,합천군,75
갈비전문점,50,제주특별자치도,50110,제주시,1024
갈비전문점,50,제주특별자치도,50130,서귀포시,580
갈비전문점,51,강원특별자치도,51110,춘천시,539
갈비전문점,51,강원특별자치도,51130,원주시,649
갈비전문점,51,강원특별자치도,51150,강릉시,416
갈비전문점,51,강원특별자치도,51170,동해시,158
갈비전문점,51,강원특별자치도,51190,태백시,104
갈비전문점,51,강원특별자치도,51210,속초시,187
갈비전문점,51,강원특별자치도,51230,삼척시,102
갈비전문점,51,강원특별자치도,51720,홍천군,129
